Deal Announce Date,Previous Year,Acquirer Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Market_Cap_AD_mil,ROA_percent,Acquirer_GHG_Emissions,Deal Status
2025-01-08,2024,STSFF,Smartstop Self Storage REIT Inc,"1204 Broad St/Clifton,591 N Union Ave/Hillside",,,,27-12-2024,8.95,21-01-2025,10.35,789.93,-0.16,,Completed
2025-01-07,2024,ICFI,ICF International Inc,Applied Energy Group,Ameresco Inc,,,27-12-2024,118.46,17-01-2025,129.44,2166.41,1.19,,Completed
2025-01-06,2024,ALTO,Alto Ingredients Inc,Kodiak Carbonic LLC,,7.25,,26-12-2024,1.66,16-01-2025,1.81,140.26,-0.58,,Completed
2024-12-31,2023,DTM,DT Midstream Inc,3 interstate natural gas pipeline systems/ONEOK Inc,ONEOK Inc,1200.0,,20-12-2024,100.91,10-01-2025,103.49,10078.13,0.73,5856083.829,Completed
2024-12-31,2023,CPF,Central Pacific Financial Corp,American Savings Bank FSB/Honolulu HI,Hawaiian Electric Industries Inc,405.0,,20-12-2024,28.03,10-01-2025,26.25,778.95,0.15,3287765.2945,Completed
2024-12-24,2023,CEG,Constellation Energy Corp,Portfolio of 26 acre mystic property/Constellation Energy Corp,Eversource Energy,,,13-12-2024,239.07,03-01-2025,252.4,71889.11,1.61,9679181.0,Completed
2024-12-18,2023,YPF.SG,YPF SA,Mobil Argentina SA,Exxon Mobil Corp,327.0,,,,,,,,,Completed
2024-12-18,2023,STSFF,Smartstop Self Storage REIT Inc,Class A self-storage facility/Aurora,,,,06-12-2024,8.8,30-12-2024,8.95,772.03,-0.16,,Completed
2024-12-13,2023,DKL,Delek Logistics Partners LP,Gravity water midstream division/Gravity Oilfield Services Inc,Gravity Oilfield Services Inc,285.0,,02-12-2024,38.94,23-12-2024,39.86,2085.28,1.73,,Completed
2024-12-09,2023,FRU.TO,Freehold Royalties Ltd,Mineral title & royalty interests/Midland Basin,,216.0,,28-11-2024,13.66,19-12-2024,12.03,2191.34,2.12,,Completed
2024-12-05,2023,CNX,CNX Resources Corp,Natural gas upstream & associated midstream business/Carnelian Energy Capital Ma,Wcaa Upstream LLC,505.0,,22-11-2024,41.09,16-12-2024,36.9,5682.79,-1.7,280001.51212115,Completed
2024-12-05,2023,AMPS,Altus Power Inc,Portfolio of 3 operational projects/Maine,,,,22-11-2024,4.17,16-12-2024,3.81,611.2,0.79,645.849,Completed
2024-12-04,2023,CRGY,Crescent Energy Co,Eagle Ford assets/Ridgemar Energy Operating LLC,Ridgemar Energy Operating LLC,905.0,,22-11-2024,15.28,16-12-2024,14.21,2791.61,-1.29,671906.162,Completed
2024-12-03,2023,SMC,Summit Midstream Corp,Tall Oak Midstream III LLC,Tailwater Capital LLC,155.0,,22-11-2024,37.35,13-12-2024,35.91,404.76,-9.88,10916116.91,Completed
2024-12-03,2023,NU,Eversource Energy,Municipal wastewater system/New England,City of Ansonia CT,,,22-11-2024,13.91,13-12-2024,11.94,43822.37,1.14,23.1,Completed
2024-12-03,2023,MARA,MARA Holdings Inc,North Texas wind farm/Hansford County,"Washington State Investment Board,National Grid Partners LLC",,,22-11-2024,26.03,13-12-2024,22.73,8528.67,-3.49,1455.589,Completed
2024-12-02,2023,CVE,Cenovus Energy Inc,Gear Energy Ltd,,129.48,2.79,21-11-2024,16.2,12-12-2024,15.11,28672.46,0.26,8469286.411,Completed
2024-12-02,2023,INVX,Innovex International Inc,Downhole Well Solutions LLC,,,,21-11-2024,17.36,12-12-2024,13.22,1110.21,7.29,8890.858063,Completed
2024-11-27,2023,HDRO.V,Primary Hydrogen Corp,"131 claims Mary's Harbour hydrogen project/Labrador,211 claims Point Rosie hydrogen Project/Newfoundland",,,,14-11-2024,0.48,11-12-2024,0.47,10.97,-45.83,,Completed
2024-11-26,2023,DNOW,DNOW Inc,Trojan Rentals LLC,,,,15-11-2024,14.37,06-12-2024,14.63,1597.99,1.42,19582.0,Completed
2024-11-25,2023,SPRU,Spruce Power Holding Corp,Portfolio of 9800 residential solar systems/New Jersey,New Jersey Resources Corp,132.5,,14-11-2024,2.29,05-12-2024,2.94,43.16,-6.63,342.154,Completed
2024-11-25,2023,ALCE,Alternus Clean Energy Inc,Customer contracts & service agreements/Liion LLC,Liion LLC,2.5,,14-11-2024,1.75,05-12-2024,0.99,11.84,-5.49,,Completed
2024-11-25,2023,SUN.V,Stardust Solar Energy Inc,Certain assets/Solar Grids Development LLC,Solar Grids Development LLC,,,14-11-2024,0.1,05-12-2024,0.12,8.86,-231.19,,Completed
2024-11-25,2023,NXXT,NextNRG Inc,Mobile fuel service operations/Yoshi Inc,Yoshi Inc,,,14-11-2024,2.87,05-12-2024,3.15,277.59,13.27,,Completed
2024-11-24,2023,OKE,ONEOK Inc,EnLink Midstream LLC,,8631.38,8.38,,,,,,1.44,3994126.195,Completed
2024-11-21,2023,KRKA.BE,KOC Holding AS,StemBioSys Inc,,,,05-11-2024,21.8,02-12-2024,26.4,,0.08,,Completed
2024-11-21,2023,AMPS,Altus Power Inc,3.4 MW Community Solar Development Project/Maryland,Chaberton Energy Holdings Inc,,,08-11-2024,3.11,02-12-2024,4.04,649.6,0.79,645.849,Completed
2024-11-20,2023,LB,Landbridge Co LLC,Wolf Bone Ranch/Delaware,VTX Energy Partners LLC,245.0,,08-11-2024,75.39,02-12-2024,72.71,1534.77,0.38,76.0,Completed
2024-11-19,2023,DTM,DT Midstream Inc,"Midwestern Gas Transmission Co,Viking Gas Transmission Co,Guardian Pipeline LLC",ONEOK Partners LP,1200.0,,08-11-2024,97.17,29-11-2024,105.34,10366.73,0.73,5856083.829,Completed
2024-11-19,2023,HTOO,Fusion Fuel Green PLC,Quality Industrial Corp,"ILUS International Inc,Exchange Listing LLC",2.18,,,,,,7.75,-6.83,,Completed
2024-11-14,2023,OVV,Ovintiv Inc,Karr Wapiti & Zama properties/Paramount Resources Ltd,Paramount Resources Ltd,2377.0,,01-11-2024,38.68,25-11-2024,45.42,11557.13,-0.31,,Completed
2024-11-14,2023,FLEX,Flex Ltd,JETCOOL Technologies Inc,"In-Q-Tel Inc,Schooner Capital LLC,Robert Bosch Venture Capital GmbH,Raptor Group Holdings LP (Fund: RW3 Ventures I LP)",,,01-11-2024,35.48,25-11-2024,41.07,14420.0,1.44,167998.803,Completed
2024-11-13,2023,CTRA,Coterra Energy Inc,Certain Assets,"Franklin Mountain Energy LLC,Avant Natural Resources LLC",3950.0,,01-11-2024,22.52,25-11-2024,26.99,19409.43,1.37,1358410.0,Completed
2024-11-12,2023,TOU.TO,Tourmaline Oil Corp,Todd Energy Canada Ltd,,215.01,,01-11-2024,62.69,22-11-2024,67.26,23372.53,1.75,,Completed
2024-11-11,2023,MARA,MARA Holdings Inc,372 Megawatt Capacity/Ohio,,,,31-10-2024,16.77,21-11-2024,24.18,8487.94,-3.49,1455.589,Completed
2024-11-06,2023,FREY,Freyr Battery Inc,1350000 sq ft solar module manufacturing facility/Wilmer,Trina Solar Co Ltd,300.0,,25-10-2024,1.02,18-11-2024,2.16,245.86,-1.32,,Completed
2024-11-06,2023,X6U0.F,Silicon Metals Corp,Silica Ridge Silica Project/MacKenzie,Cronin Exploration Inc,0.23,,,,,,,,,Completed
2024-11-06,2023,X6U0.F,Silicon Metals Corp,Silica Ridge Silica Project/MacKenzie,Cronin Exploration Inc,0.23,,,,,,,,,Completed
2024-11-06,2023,X6U0.F,Silicon Metals Corp,Longworth Silica Project/George,Cronin Exploration Inc,0.13,,,,,,,,,Completed
2024-11-06,2023,X6U0.F,Silicon Metals Corp,Longworth Silica Project/George,Cronin Exploration Inc,0.13,,,,,,,,,Completed
2024-11-06,2023,PWH.V,PureWave Hydrogen Corp,Purewave Hydrogen Corp/US,,,,25-10-2024,0.25,18-11-2024,0.22,8.92,-4.88,,Completed
2024-11-06,2023,5BP.HA,Corp ACCIONA Energias Renovables SA,300 MW wind farm/Texas,,,,,,,,,,,Completed
2024-11-06,2023,NOW,ServiceNow Inc,Mission Secure Inc,"Motor Oil Hellas Corinth Refineries SA,University of Virginia,Macquarie Group Ltd (Fund: Macquarie Global Opportunities Partners LP),Ballast Fund/The,R/GA Ventures LLC,Felton Group LLC,Blue Bear Capital LLC (Fund: Blue Bear Capital Partners LP),Energy Innovation Capital Management LLC (Fund: ...",,,25-10-2024,950.85,18-11-2024,1005.34,205347.2,1.88,2430.0,Completed
2024-11-05,2023,ANA.VI,Acciona SA,Portfolio of 2 new wind farms/Texas,,202.5,,25-10-2024,122.9,15-11-2024,116.9,6587.35,,,Completed
2024-11-04,2023,ZEOWW,Zeo Energy Corp,Certain Assets,Lumio Holdings Inc,12.92,,,,,,,-0.9,,Completed
2024-10-31,2023,AEE,Ameren Corp,Huck Finn Renewable Energy center/Missouri,,,,18-10-2024,88.19,11-11-2024,91.62,23338.86,0.46,9890558.980304694,Completed
2024-10-30,2023,EQNR,Equinor ASA,Northern Marcellus gas unit/US,EQT Corp,1250.0,,18-10-2024,23.45,11-11-2024,22.15,64881.14,1.69,11449109.44,Completed
2024-10-30,2023,8SW.F,Archer Ltd,Wellbore Fishing & Rental Tools LLC,,51.5,,18-10-2024,1.8,11-11-2024,1.71,142.87,0.27,,Completed
2024-10-30,2023,MEY.DU,Meritage Homes Corp,Certain assets/Elliott Homes Inc,Elliott Homes Inc,,,,,,,,2.41,,Completed
2024-10-29,2023,CECO,CECO Environmental Corp,Profire Energy Inc,,107.64,8.3,18-10-2024,26.86,08-11-2024,25.08,789.37,0.64,5978.081,Completed
2024-10-24,2023,D,Dominion Energy Inc,Kitty Hawk North offshore wind lease area/Kitty Hawk,Avangrid Inc,160.0,,11-10-2024,54.93,04-11-2024,56.3,50594.16,-0.07,29523724.0,Completed
2024-10-23,2023,SHEL,Shell PLC,RISEC Holdings LLC,"Electricity Generating PCL,Carlyle Group Inc/The (Fund: Abingworth Bioventures 9 LP)",,,11-10-2024,67.05,04-11-2024,66.32,195728.77,1.09,40524988.2245,Completed
2024-10-15,2023,CIFR,Cipher Mining Inc,1.5 GW of Data Center/Texas,Juvo Energy Ltd,4.1,,04-10-2024,4.1,25-10-2024,5.46,1583.5,2.05,476.454,Completed
2024-10-07,2023,CRC.BE,Canadian Natural Resources Ltd,"Athabasca Oil Sands Project/Alberta,Duvernay shale/Alberta","Chevron Corp,Chevron Canada Oil Sands Partnership",6500.0,,26-09-2024,28.99,17-10-2024,31.79,,3.02,,Completed
2024-10-07,2023,CRK,Comstock Resources Inc,Quantum Generative Materials LLC,,,,26-09-2024,10.93,17-10-2024,11.61,3541.39,-0.74,402370.886,Completed
2024-10-04,2023,TLN,Talen Energy Corp,Nautilus Cryptomine facility,Terawulf Inc,85.0,,23-09-2024,181.36,14-10-2024,166.61,8748.85,2.45,,Completed
2024-10-04,2023,DSGR,Distribution Solutions Group I,ConRes Test Equipment/Continental Resources Inc,Continental Resources Inc/OK,,,23-09-2024,37.91,14-10-2024,40.12,1815.91,1.23,21419.678,Completed
2024-10-01,2023,SMC,Summit Midstream Corp,Tall Oak Midstream LLC,Tailwater Capital LLC,425.18,,20-09-2024,35.91,11-10-2024,36.15,366.85,-9.88,10916116.91,Completed
2024-09-30,2023,ULBI,Ultralife Corp,Electrochem Solutions Inc,Integer Holdings Corp,50.0,,19-09-2024,9.58,10-10-2024,8.96,150.31,0.15,5610.406,Completed
2024-09-30,2023,PGHN.SW,Partners Group Holding AG,Gateway EV Fleets LLC,,,,19-09-2024,1229.0,10-10-2024,1267.0,33156.91,,,Completed
2024-09-26,2023,GEVO,Gevo Inc,Cultivate Agricultural Intelligence LLC,,6.0,,13-09-2024,1.17,07-10-2024,1.84,349.53,-3.5,,Completed
2024-09-26,2023,X6U0.F,Silicon Metals Corp,Ptarmigan Silica Project/Valemount,Cronin Exploration Inc,0.08,,,,,,,,,Completed
2024-09-25,2023,ARSLF,Altima Energy Inc,Richdale assets/Alberta,Uriel Gas Holdings Corp,0.45,,13-09-2024,0.12,07-10-2024,0.16,6.26,-10.46,,Completed
2024-09-25,2023,8002.T,Marubeni Corp,Eagle Ford CCS Project/Ozona CCS LLC,Ozona CCS LLC,,,,,,,3851392.34,1.12,,Completed
2024-09-16,2023,PM7.F,Revolve Renewable Power Corp,30MWp solar project/Alberta,,,,05-09-2024,0.17,26-09-2024,0.17,9.96,-6.08,,Completed
2024-09-12,2023,GEVO,Gevo Inc,Ethanol production plant & carbon capture & sequestration assets/US,Red Trail Energy LLC,210.0,,30-08-2024,0.79,23-09-2024,1.47,220.25,-3.5,,Completed
2024-09-12,2023,APO,Apollo Global Management Inc,Freedom CNG Management LLC,,,,30-08-2024,115.07,23-09-2024,124.52,63741.66,0.39,1182.0,Completed
2024-09-11,2023,VNOM,Viper Energy Inc,"TWR IV SellCo LLC,TWR IV LLC","Tumbleweed Royalty IV LLC,TWR IV SellCo Parent LLC",461.0,,30-08-2024,47.05,23-09-2024,46.37,5857.27,4.14,,Completed
2024-09-10,2023,BEPC,Brookfield Renewable Corp,12.18 MW Wheeler Gulch Solar Project/Colorado,Caerus Piceance LLC,,,30-08-2024,27.8,20-09-2024,29.64,4927.79,,144679.0,Completed
2024-09-03,2023,VNOM,Viper Energy Inc,Tumbleweed-Q Royalties LLC,,113.4,,23-08-2024,46.86,13-09-2024,42.47,6026.0,4.14,,Completed
2024-09-03,2023,VNOM,Viper Energy Inc,Tumbleweed-Q Royalties LLC,,113.4,,23-08-2024,46.86,13-09-2024,42.47,6026.0,4.14,,Completed
2024-09-03,2023,VNOM,Viper Energy Inc,"MC TWR Royalties LP,MC TWR Intermediate LLC",,75.6,,23-08-2024,46.86,13-09-2024,42.47,6026.0,4.14,,Completed
2024-09-03,2023,VNOM,Viper Energy Inc,"MC TWR Royalties LP,MC TWR Intermediate LLC",,75.6,,23-08-2024,46.86,13-09-2024,42.47,6026.0,4.14,,Completed
2024-09-03,2023,BMW.DE,Bayerische Motoren Werke AG,Wind energy unit/Aeromine Technologies Inc,Aeromine Technologies Inc,,,23-08-2024,84.46,13-09-2024,73.32,46032.79,0.15,,Completed
2024-09-03,2023,WFRD,Weatherford International PLC,Datagration LLC,,,,23-08-2024,107.3,13-09-2024,90.93,7049.81,2.17,116153.0,Completed
2024-08-30,2023,FAIR.V,Fairchild Gold Corp,Goodsprings Exploration LLC,,0.5,,19-08-2024,0.03,09-09-2024,0.05,2.21,-29.07,,Completed
2024-08-29,2023,OKE,ONEOK Inc,Medallion Midstream LLC,Global Infrastructure Management LLC,2600.0,,16-08-2024,85.65,09-09-2024,90.13,55118.58,1.44,3994126.195,Completed
2024-08-27,2023,TPL,Texas Pacific Land Corp,2 oil & gas mineral interests/Permian Basin,,169.0,,16-08-2024,819.56,06-09-2024,797.71,19682.05,9.48,13819.0,Completed
2024-08-22,2023,LHA.DE,Deutsche Lufthansa AG,ETP Thermal Dynamics LLC,Campbell Holdings Group LLC,,,09-08-2024,5.61,02-09-2024,5.85,6703.29,2.36,,Completed
2024-08-21,2023,EPD,Enterprise Products Partners LP,Pinon Midstream LLC,Black Bay Energy Capital LLC,950.0,,09-08-2024,27.75,03-09-2024,28.18,60761.72,1.89,,Completed
2024-08-20,2023,DEC,Diversified Energy Co PLC,Operated natural gas properties/Eastern Texas,,68.0,,09-08-2024,13.45,30-08-2024,12.23,742.03,,793150.0,Completed
2024-08-13,2023,NAHD,New Asia Holdings Inc,162 miles of Texas pipeline/Taylor Consulting,Taylor Consulting,,,02-08-2024,0.19,23-08-2024,0.35,92.78,-353.45,,Completed
2024-08-13,2023,PGHN.SW,Partners Group Holding AG,Grid edge distributed energy resource management system/Sunverge Energy Inc,Sunverge Energy Inc,,,02-08-2024,1105.5,23-08-2024,1229.0,29880.38,,,Completed
2024-08-12,2023,TOU.TO,Tourmaline Oil Corp,Crew Energy Inc,,881.67,5.25,01-08-2024,57.05,22-08-2024,61.06,22129.51,1.75,,Completed
2024-08-07,2023,DKL,Delek Logistics Partners LP,H2O Midstream LLC,EIV Capital Management Co LLC,230.0,,26-07-2024,38.0,19-08-2024,37.0,1987.96,1.73,,Completed
2024-08-07,2023,EMPPF,EMP Metals Corp,Hub City Lithium Corp,ROK Resources Inc,4.05,,26-07-2024,0.21,19-08-2024,0.35,32.85,-3.84,,Completed
2024-08-06,2023,CEG,Constellation Energy Corp,Constellation South Texas LLC,,,,26-07-2024,174.44,16-08-2024,189.68,56443.98,1.61,9679181.0,Completed
2024-08-06,2023,MPLX,MPLX LP,BANGL NGL pipeline/Permian,,,,26-07-2024,40.6,16-08-2024,40.76,40098.06,2.93,5401376.567,Completed
2024-08-06,2023,ZEFI.NE,Zefiro Methane Corp,Plants & Goodwin Inc,,,,26-07-2024,1.3,16-08-2024,1.13,106.76,-18.1,,Completed
2024-08-05,2023,CSLRW,Complete Solaria Inc,Blue Raven Solar LLC,SunPower Corp,45.0,,,,,,,-72.23,,Completed
2024-08-01,2023,FOMA.SG,Fomento Economico Mexicano SAB de CV,Unnamed Target,Delek US Holdings Inc,385.0,,,,,,,,,Completed
2024-08-01,2023,O9B.F,Enrg Elements Ltd,Lamont Lake Uranium Project/North Saskatchewan,,0.07,,19-07-2024,0.0,12-08-2024,0.0,4.88,,,Completed
2024-07-30,2023,TTGXF,Trans Canada Gold Corp,4 additional multilateral wells/Canada,Canyon Park Owner LLC,,,16-07-2024,0.05,12-08-2024,0.05,,4.81,,Completed
2024-07-29,2023,PR,Permian Resources Corp,Certain Basin assets/Texas,Occidental Petroleum Corp,818.0,,18-07-2024,15.86,08-08-2024,14.18,10532.91,1.28,892378.209,Completed
2024-07-29,2023,SD,SandRidge Energy Inc,Certain Assets,,144.0,,18-07-2024,13.14,08-08-2024,12.42,481.08,4.51,33621.262,Completed
2024-07-23,2023,FLS,Flowserve Corp,Intellectual Property & LNG Pumping Technology/NexGen Cryogenic Solutions Inc,Nexgen Cryogenic Solutions Inc,,,12-07-2024,48.0,02-08-2024,46.47,6632.79,1.41,14551.5,Completed
2024-07-22,2023,AROC,Archrock Inc,Total Operations & Production Services LLC,Apollo Global Management Inc,969.63,,11-07-2024,20.97,01-08-2024,19.05,3992.96,1.56,18566.676,Completed
2024-07-22,2023,DOV,Dover Corp,Marshall Excelsior Co,Harbour Group Industries Inc,395.0,,11-07-2024,180.66,01-08-2024,177.73,24661.74,11.48,54787.0,Completed
2024-07-21,2023,WDS,Woodside Energy Group Ltd,Tellurian Inc,,1261.4,,10-07-2024,18.61,31-07-2024,17.52,,,6172000.0,Completed
2024-07-17,2023,TBABY,Trelleborg AB,Baron Group Inc,,,,05-07-2024,23.86,29-07-2024,23.86,4829.38,1.54,,Completed
2024-07-15,2023,CSLRW,Complete Solaria Inc,Selected assets/Core Energy,Solgen Construction LLC,,,,,,,,-72.23,,Completed
2024-07-11,2023,SPRQF,Sparq Systems Inc,Amplify Consulting Partners Inc,,,,28-06-2024,0.33,22-07-2024,0.63,38.77,-8.18,,Completed
2024-07-10,2023,HON,Honeywell International Inc,Liquefied natural gas process technology and equipment business/Allentown,Air Products and Chemicals Inc,1810.0,,28-06-2024,210.21,22-07-2024,213.59,137228.91,1.71,695159.079,Completed
2024-07-10,2023,DEC,Diversified Energy Co PLC,Operated natural gas properties & related facilities/Texas,Crescent Pass Energy LLC,106.0,,28-06-2024,13.18,22-07-2024,15.82,840.58,,793150.0,Completed
2024-07-09,2023,SEI,Solaris Energy Infrastructure,Mobile Energy Rentals LLC,,198.63,,28-06-2024,8.46,19-07-2024,12.73,309.86,-0.1,4068.426,Completed
2024-07-09,2023,UTL,Unitil Corp,Bangor Natural Gas Co,Hearthstone Utilities Inc,70.9,,28-06-2024,50.64,19-07-2024,56.0,822.76,0.87,20546.162,Completed
2024-07-08,2023,DVN,Devon Energy Corp,Williston Basin business/Grayson Mill Energy LLC,Grayson Mill Energy LLC,5000.0,,27-06-2024,46.19,18-07-2024,47.62,29646.6,2.1,2188624.6526725,Completed
2024-07-05,2023,301158.SZ,Dezhou United Petroleum Technology Co Ltd,IAE International Inc,,4.9,,24-06-2024,11.73,15-07-2024,11.79,1796.36,1.71,,Completed
2024-07-02,2023,CA89055A2039.SG,Topaz Energy Corp,Natural gas & condensate facility/Musreau,Whitecap Resources Inc,73.02,,,,,,,,,Completed
2024-07-02,2023,PBA,Pembina Pipeline Corp,Kaybob complex/Whitecap Resources Inc,Whitecap Resources Inc,,,21-06-2024,35.5,12-07-2024,37.31,21475.71,1.59,,Completed
2024-06-30,2023,AMPS,Altus Power Inc,9.8 MW solar energy facilities/Massachusetts,,9.8,,18-06-2024,4.44,10-07-2024,4.2,,0.79,645.849,Completed
2024-06-27,2023,GNRC,Generac Holdings Inc,PowerPlay Battery Energy Storage Systems/SunGrid Solutions Inc,Sungrid Solutions Inc,,,14-06-2024,134.97,08-07-2024,142.19,8103.33,2.52,34280.0,Completed
2024-06-24,2023,AMPS,Altus Power Inc,8.5 MW solar array/New Jersey,,,,13-06-2024,4.38,05-07-2024,4.02,644.8,0.79,645.849,Completed
2024-06-20,2023,NXT,NEXTracker Inc,Ojjo Inc,"NGP Energy Capital Management LLC,Ajax Strategies LLC",119.0,,07-06-2024,55.65,01-07-2024,46.12,8148.36,3.86,22015.5,Completed
2024-06-20,2023,HEX.L,Helix Exploration PLC,5600 acres helium deposits/Hill County,,0.24,,07-06-2024,23.0,01-07-2024,22.0,3610.31,,,Completed
2024-06-12,2023,MTDR,Matador Resources Co,Ameredev Stateline II LLC,"Ameredev II Parent LLC,Ameredev Intermediate II LLC",1905.0,,31-05-2024,62.58,24-06-2024,58.47,7311.7,1.98,1051432.0,Completed
2024-06-11,2023,CA00791P1071.SG,Advantage Energy Ltd,synergistic Charlie Lake & Montney assets/Canada,,323.38,,,,,,,,,Completed
2024-06-11,2023,1UJ0.F,Union Jack Oil PLC,Rogers Enhanced Oil Recovery Project & associated leases/Seminole,Reach Oil & Gas Co Inc,0.1,,31-05-2024,0.21,21-06-2024,0.19,21.85,,,Completed
2024-06-10,2023,NE,Noble Corp PLC,Diamond Offshore Drilling Inc,,2171.27,12.19,30-05-2024,44.0,20-06-2024,43.25,6983.77,1.21,440479.6358574,Completed
2024-06-05,2023,ANNAW,AleAnna Inc,AleAnna Energy LLC,,,,,,,,,-2.28,,Completed
2024-06-03,2023,PUMP,ProPetro Holding Corp,Aqua Prop LLC,,24.88,,23-05-2024,9.54,13-06-2024,8.58,949.15,-1.39,294004.681,Completed
2024-05-30,2023,KLTO,Klotho Neurosciences Inc,Strategic Asset Leasing Inc,,0.0,,17-05-2024,6.05,10-06-2024,5.51,154.36,-120.1,,Completed
2024-05-28,2023,COP,ConocoPhillips,Marathon Oil Corp,,22921.61,5.22,17-05-2024,119.03,07-06-2024,109.54,148031.21,1.88,8221074.884,Completed
2024-05-28,2023,ET,Energy Transfer LP,WTG Midstream LLC,Diamondback Energy Inc,3250.0,,17-05-2024,15.11,07-06-2024,14.66,50320.29,0.86,17288.652,Completed
2024-05-22,2023,KMI,Kinder Morgan Inc,Oil & gas producing assets/US,,100.0,,10-05-2024,18.41,03-06-2024,18.82,41579.25,0.93,14900000.0,Completed
2024-05-21,2023,DFCO,Dalrada Financial Corp,IV Services LLC,,,,10-05-2024,0.2,31-05-2024,0.17,22.83,-35.89,,Completed
2024-05-20,2023,PSX,Phillips 66,Pinnacle Midstream II LLC,Energy Spectrum Capital LP,566.0,,,,,,57363.95,0.01,15825701.075,Completed
2024-05-19,2023,KEGX,Key Energy Services Inc,Well servicing division/Endeavor Energy Resources LP,Endeavor Energy Resources LP,,,,,,,,,,Completed
2024-05-17,2023,IBE.VI,Iberdrola SA,Avangrid Inc,,2543.69,6.57,,,,,74864.95,0.86,,Completed
2024-05-16,2023,CRGY,Crescent Energy Co,SilverBow Resources Inc,,2025.54,4.52,,,,,2175.98,-1.29,671906.162,Completed
2024-05-15,2023,LEGY.V,Legacy Gold Mines Ltd,Baner gold project/Idaho,Champion Electric Metals Inc,0.95,,,,,,6.06,-8.74,,Completed
2024-05-13,2023,OKE,ONEOK Inc,Certain pipeline systems/Gulf Coast,Easton Energy LLC,280.0,,02-05-2024,74.46,23-05-2024,77.6,48694.15,1.44,3994126.195,Completed
