Announce Date,Announce_Date_DT,Reference_Date,Reference_Year,Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status,Acquirer_GHG_Emissions,Annual_Sales,Carbon_Intensity,Target_Classification,Acquirer_Classification,status,ticker,T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Percent_Return
24-11-2024,24-11-2024,24-11-2023,2023,OKE,ONEOK Inc,EnLink Midstream LLC,,8631.38,8.38,Completed,3994126.195,17677.0,225.9504551111613,Brown,Brown,Success,OKE,13-11-2024,107.02,04-12-2024,107.59,0.53
21-11-2024,21-11-2024,21-11-2023,2023,AMPS,Altus Power Inc,3.4 MW Community Solar Development Project/Maryland,Chaberton Energy Holdings Inc,,,Completed,645.849,155.162,4.162417344452894,Green,Green,Success,AMPS,08-11-2024,3.11,02-12-2024,4.04,29.9
19-11-2024,19-11-2024,19-11-2023,2023,DTM,DT Midstream Inc,"Midwestern Gas Transmission Co,Viking Gas Transmission Co,Guardian Pipeline LLC",ONEOK Partners LP,1200.0,,Completed,5856083.829,922.0,6351.500899132321,Brown,Brown,Success,DTM,08-11-2024,96.34,29-11-2024,104.44,8.41
13-11-2024,13-11-2024,13-11-2023,2023,CTRA,Coterra Energy Inc,Certain Assets,"Franklin Mountain Energy LLC,Avant Natural Resources LLC",3950.0,,Completed,1358410.0,5914.0,229.69394656746704,Neutral,Brown,Success,CTRA,01-11-2024,22.34,25-11-2024,26.77,19.83
11-11-2024,11-11-2024,11-11-2023,2023,MARA,MARA Holdings Inc,372 Megawatt Capacity/Ohio,,,,Completed,1455.589,387.508,3.756281160647006,Neutral,Green,Success,MARA,31-10-2024,16.77,21-11-2024,24.18,44.19
06-11-2024,06-11-2024,06-11-2023,2023,NOW,ServiceNow Inc,Mission Secure Inc,"Motor Oil Hellas Corinth Refineries SA,University of Virginia,Macquarie Group Ltd (Fund: Macquarie Global Opportunities Partners LP),Ballast Fund/The,R/GA Ventures LLC,Felton Group LLC,Blue Bear Capital LLC (Fund: Blue Bear Capital Partners LP),Energy Innovation Capital Management LLC (Fund: ...",,,Completed,2430.0,8971.0,0.2708728123954966,Green,Green,Success,NOW,25-10-2024,950.85,18-11-2024,1005.34,5.73
31-10-2024,31-10-2024,31-10-2023,2023,AEE,Ameren Corp,Huck Finn Renewable Energy center/Missouri,,,,Completed,19781102.63,7500.0,2637.4803506666667,Green,Brown,Success,AEE,18-10-2024,87.56,11-11-2024,90.97,3.89
30-10-2024,30-10-2024,30-10-2023,2023,EQNR,Equinor ASA,Northern Marcellus gas unit/US,EQT Corp,1250.0,,Completed,11449109.44,106848.0,107.1532405,Brown,Brown,Success,EQNR,18-10-2024,23.45,11-11-2024,22.15,-5.55
29-10-2024,29-10-2024,29-10-2023,2023,CECO,CECO Environmental Corp,Profire Energy Inc,,107.64,8.3,Completed,5978.081,544.845,10.972076462113078,Brown,Green,Success,CECO,18-10-2024,26.86,08-11-2024,25.08,-6.63
24-10-2024,24-10-2024,24-10-2023,2023,D,Dominion Energy Inc,Kitty Hawk North offshore wind lease area/Kitty Hawk,Avangrid Inc,160.0,,Completed,29523724.0,14393.0,2051.2557493225872,Green,Brown,Success,D,11-10-2024,54.93,04-11-2024,56.3,2.49
23-10-2024,23-10-2024,23-10-2023,2023,SHEL,Shell PLC,RISEC Holdings LLC,"Electricity Generating PCL,Carlyle Group Inc/The (Fund: Abingworth Bioventures 9 LP)",,,Completed,40524988.22,316620.0,127.99250907870632,Neutral,Brown,Success,SHEL,11-10-2024,67.05,04-11-2024,66.32,-1.1
15-10-2024,15-10-2024,15-10-2023,2023,CIFR,Cipher Mining Inc,1.5 GW of Data Center/Texas,Juvo Energy Ltd,4.1,,Completed,476.454,126.842,3.756279465792088,Neutral,Green,Success,CIFR,04-10-2024,4.1,25-10-2024,5.46,33.17
07-10-2024,07-10-2024,07-10-2023,2023,CRK,Comstock Resources Inc,Quantum Generative Materials LLC,,,,Completed,402370.886,1565.109,257.08809162812304,Green,Brown,Success,CRK,26-09-2024,10.93,17-10-2024,11.61,6.22
04-10-2024,04-10-2024,04-10-2023,2023,DSGR,Distribution Solutions Group I,ConRes Test Equipment/Continental Resources Inc,Continental Resources Inc/OK,,,Completed,21419.678,1570.402,13.639614570027293,Brown,Green,Success,DSGR,23-09-2024,37.91,14-10-2024,40.12,5.83
01-10-2024,01-10-2024,01-10-2023,2023,SMC,Summit Midstream Corp,Tall Oak Midstream LLC,Tailwater Capital LLC,425.18,,Completed,10916116.91,458.903,23787.416752559908,Brown,Brown,Success,SMC,20-09-2024,35.91,11-10-2024,36.15,0.67
30-09-2024,30-09-2024,30-09-2023,2023,ULBI,Ultralife Corp,Electrochem Solutions Inc,Integer Holdings Corp,50.0,,Completed,5610.406,158.644,35.36475378835632,Green,Brown,Success,ULBI,19-09-2024,9.58,10-10-2024,8.96,-6.47
12-09-2024,12-09-2024,12-09-2023,2023,APO,Apollo Global Management Inc,Freedom CNG Management LLC,,,,Completed,1182.0,32781.0,0.036057472,Brown,Green,Success,APO,30-08-2024,115.07,23-09-2024,124.52,8.21
03-09-2024,03-09-2024,03-09-2023,2023,WFRD,Weatherford International PLC,Datagration LLC,,,,Completed,116153.0,5135.0,22.619863680623173,Neutral,Green,Success,WFRD,23-08-2024,107.3,13-09-2024,90.93,-15.26
29-08-2024,29-08-2024,29-08-2023,2023,OKE,ONEOK Inc,Medallion Midstream LLC,Global Infrastructure Management LLC,2600.0,,Completed,3994126.195,17677.0,225.9504551111613,Brown,Brown,Success,OKE,16-08-2024,85.65,09-09-2024,90.13,5.24
27-08-2024,27-08-2024,27-08-2023,2023,TPL,Texas Pacific Land Corp,2 oil & gas mineral interests/Permian Basin,,169.0,,Completed,13819.0,631.595,21.87952722868293,Brown,Green,Success,TPL,16-08-2024,818.65,06-09-2024,796.82,-2.67
06-08-2024,06-08-2024,06-08-2023,2023,CEG,Constellation Energy Corp,Constellation South Texas LLC,,,,Completed,9679181.0,24918.0,388.4413275543784,Brown,Brown,Success,CEG,26-07-2024,174.12,16-08-2024,189.33,8.74
06-08-2024,06-08-2024,06-08-2023,2023,MPLX,MPLX LP,BANGL NGL pipeline/Permian,,,,Completed,5401376.567,11281.0,478.8029932630086,Brown,Brown,Success,MPLX,26-07-2024,40.6,16-08-2024,40.76,0.4
29-07-2024,29-07-2024,29-07-2023,2023,PR,Permian Resources Corp,Certain Basin assets/Texas,Occidental Petroleum Corp,818.0,,Completed,892378.209,3120.893,285.9368164816929,Neutral,Brown,Success,PR,18-07-2024,15.69,08-08-2024,14.03,-10.58
29-07-2024,29-07-2024,29-07-2023,2023,SD,SandRidge Energy Inc,Certain Assets,,144.0,,Completed,33621.262,148.641,226.1910374661097,Neutral,Brown,Success,SD,18-07-2024,13.02,08-08-2024,12.3,-5.53
23-07-2024,23-07-2024,23-07-2023,2023,FLS,Flowserve Corp,Intellectual Property & LNG Pumping Technology/NexGen Cryogenic Solutions Inc,Nexgen Cryogenic Solutions Inc,,,Completed,14551.5,4320.577,3.367952938,Brown,Green,Success,FLS,12-07-2024,48.0,02-08-2024,46.47,-3.2
22-07-2024,22-07-2024,22-07-2023,2023,AROC,Archrock Inc,Total Operations & Production Services LLC,Apollo Global Management Inc,969.63,,Completed,18566.676,990.337,18.74783634257833,Green,Green,Success,AROC,11-07-2024,20.97,01-08-2024,19.05,-9.12
22-07-2024,22-07-2024,22-07-2023,2023,DOV,Dover Corp,Marshall Excelsior Co,Harbour Group Industries Inc,395.0,,Completed,54787.0,7684.476,7.129568756542411,Neutral,Green,Success,DOV,11-07-2024,180.66,01-08-2024,177.73,-1.62
10-07-2024,10-07-2024,10-07-2023,2023,HON,Honeywell International Inc,Liquefied natural gas process technology and equipment business/Allentown,Air Products and Chemicals Inc,1810.0,,Completed,695159.079,36662.0,18.961297228738204,Brown,Brown,Success,HON,28-06-2024,210.21,22-07-2024,213.59,1.61
09-07-2024,09-07-2024,09-07-2023,2023,SEI,Solaris Energy Infrastructure,Mobile Energy Rentals LLC,,198.63,,Completed,4068.426,292.947,13.887925119560876,Neutral,Green,Success,SEI,28-06-2024,8.41,19-07-2024,12.66,50.58
09-07-2024,09-07-2024,09-07-2023,2023,UTL,Unitil Corp,Bangor Natural Gas Co,Hearthstone Utilities Inc,70.9,,Completed,20546.162,557.1,36.88056363309998,Brown,Brown,Success,UTL,28-06-2024,50.64,19-07-2024,56.0,10.6
08-07-2024,08-07-2024,08-07-2023,2023,DVN,Devon Energy Corp,Williston Basin business/Grayson Mill Energy LLC,Grayson Mill Energy LLC,5000.0,,Completed,2188624.653,15258.0,143.44112286489053,Brown,Brown,Success,DVN,27-06-2024,45.87,18-07-2024,47.28,3.08
30-06-2024,30-06-2024,30-06-2023,2023,AMPS,Altus Power Inc,9.8 MW solar energy facilities/Massachusetts,,9.8,,Completed,645.849,155.162,4.162417344452894,Green,Green,Success,AMPS,18-06-2024,4.44,10-07-2024,4.2,-5.41
27-06-2024,27-06-2024,27-06-2023,2023,GNRC,Generac Holdings Inc,PowerPlay Battery Energy Storage Systems/SunGrid Solutions Inc,Sungrid Solutions Inc,,,Completed,34280.0,4022.667,8.521709602,Green,Brown,Success,GNRC,14-06-2024,134.97,08-07-2024,142.19,5.35
24-06-2024,24-06-2024,24-06-2023,2023,AMPS,Altus Power Inc,8.5 MW solar array/New Jersey,,,,Completed,645.849,155.162,4.162417344452894,Green,Green,Success,AMPS,13-06-2024,4.38,05-07-2024,4.02,-8.22
12-06-2024,12-06-2024,12-06-2023,2023,MTDR,Matador Resources Co,Ameredev Stateline II LLC,"Ameredev II Parent LLC,Ameredev Intermediate II LLC",1905.0,,Completed,1051432.0,2808.046,374.43546152733967,Brown,Brown,Success,MTDR,31-05-2024,62.58,24-06-2024,58.47,-6.57
10-06-2024,10-06-2024,10-06-2023,2023,NE,Noble Corp PLC,Diamond Offshore Drilling Inc,,2171.27,12.19,Completed,880644.0,2589.018,340.1459549528045,Brown,Brown,Success,NE,30-05-2024,43.05,20-06-2024,42.31,-1.7
03-06-2024,03-06-2024,03-06-2023,2023,PUMP,ProPetro Holding Corp,Aqua Prop LLC,,24.88,,Completed,294004.681,1630.399,180.32682858613137,Brown,Green,Success,PUMP,23-05-2024,9.54,13-06-2024,8.58,-10.06
28-05-2024,28-05-2024,28-05-2023,2023,COP,ConocoPhillips,Marathon Oil Corp,,22921.61,5.22,Completed,8221074.884,56141.0,146.43620320265046,Brown,Brown,Success,COP,17-05-2024,119.03,07-06-2024,109.54,-7.98
22-05-2024,22-05-2024,22-05-2023,2023,KMI,Kinder Morgan Inc,Oil & gas producing assets/US,,100.0,,Completed,14900000.0,15334.0,971.6968827442286,Brown,Brown,Success,KMI,10-05-2024,18.41,03-06-2024,18.82,2.2
16-05-2024,16-05-2024,16-05-2023,2023,CRGY,Crescent Energy Co,SilverBow Resources Inc,,2025.54,4.52,Completed,671906.162,2382.602,282.00520355476914,Brown,Brown,Success,CRGY,03-05-2024,10.15,28-05-2024,12.09,19.17
13-05-2024,13-05-2024,13-05-2023,2023,OKE,ONEOK Inc,Certain pipeline systems/Gulf Coast,Easton Energy LLC,280.0,,Completed,3994126.195,17677.0,225.9504551111613,Neutral,Brown,Success,OKE,02-05-2024,74.46,23-05-2024,77.6,4.21
09-05-2024,09-05-2024,09-05-2023,2023,KNTK,Kinetik Holdings Inc,Durango Permian LLC,Morgan Stanley Energy Partners,315.0,,Completed,2020748.926,1256.412,1608.3489540055332,Brown,Brown,Success,KNTK,26-04-2024,37.27,20-05-2024,39.1,4.89
30-04-2024,30-04-2024,30-04-2023,2023,PWR,Quanta Services Inc,Sherman + Reilly Inc,Greenlee Textron Inc,,,Completed,988361.193,20882.206,47.33030566789735,Neutral,Brown,Success,PWR,19-04-2024,243.02,10-05-2024,271.22,11.6
29-04-2024,29-04-2024,29-04-2023,2023,TMHC,Taylor Morrison Home Corp,Pyatt Builders LLC,,,,Completed,117397.114,7417.831,15.826339802025686,Neutral,Green,Success,TMHC,18-04-2024,54.03,09-05-2024,59.4,9.94
26-04-2024,26-04-2024,26-04-2023,2023,APO,Apollo Global Management Inc,US Silica Holdings Inc,,1850.0,4.32,Completed,1182.0,32781.0,0.036057472,Brown,Green,Success,APO,15-04-2024,106.1,06-05-2024,109.94,3.63
15-04-2024,15-04-2024,15-04-2023,2023,EQNR,Equinor ASA,Non-operated natural gas assets/EQT Corp,EQT Corp,500.0,,Completed,11449109.44,106848.0,107.1532405,Brown,Brown,Success,EQNR,04-04-2024,25.79,25-04-2024,25.72,-0.25
01-04-2024,01-04-2024,01-04-2023,2023,AM,Antero Midstream Corp,Gathering & compression assets/Summit Midstream Partners LP,Summit Midstream Partners LP,70.0,,Completed,1021615.772,1041.771,980.6529184436888,Brown,Brown,Success,AM,21-03-2024,13.18,11-04-2024,13.21,0.21
01-04-2024,01-04-2024,01-04-2023,2023,WTTR,Select Water Solutions Inc,Trinity Environmental Services LLC,,,,Completed,244677.912,1585.353,154.33654965171797,Green,Brown,Success,WTTR,21-03-2024,9.07,11-04-2024,9.09,0.22
29-03-2024,29-03-2024,29-03-2023,2023,LUV,Southwest Airlines Co,SAFFiRE Renewables LLC,,,,Completed,20684739.36,26091.0,792.7921260204668,Green,Brown,Success,LUV,18-03-2024,27.36,08-04-2024,27.98,2.28
22-03-2024,22-03-2024,22-03-2023,2023,MPLX,MPLX LP,Summit Midstream Utica LLC,Summit Midstream Partners LP,625.0,,Completed,5401376.567,11281.0,478.8029932630086,Brown,Brown,Success,MPLX,11-03-2024,37.5,01-04-2024,38.14,1.7
22-03-2024,22-03-2024,22-03-2023,2023,REPX,Riley Exploration Permian Inc,Upstream oil & gas assets/Eddy County,Contango Oil & Gas Co,20.5,,Completed,84832.27,375.047,226.1910373899805,Brown,Brown,Success,REPX,11-03-2024,26.22,01-04-2024,32.07,22.31
18-03-2024,18-03-2024,18-03-2023,2023,INVX,Innovex International Inc,Innovex Downhole Solutions Inc,,739.4,7.13,Completed,8890.858063,555.539,16.00402143323871,Brown,Green,Success,INVX,07-03-2024,22.49,28-03-2024,22.53,0.18
12-03-2024,12-03-2024,12-03-2023,2023,BLK,BlackRock Inc,38 solar energy & solar plus storage projects/Excelsior Energy Capital LP,Excelsior Energy Capital LP,,,Completed,6689.0,17859.0,0.3745450473150792,Green,Green,Success,BLK,01-03-2024,791.51,22-03-2024,806.19,1.86
11-03-2024,11-03-2024,11-03-2023,2023,EQT,EQT Corp,Equitrans Midstream Corp,,12880.88,12.38,Completed,334460.4355,5647.763,59.21998417780633,Brown,Brown,Success,EQT,29-02-2024,36.55,21-03-2024,33.81,-7.51
11-03-2024,11-03-2024,11-03-2023,2023,ACA,Arcosa Inc,Ameron Pole Products LLC,NOV Inc,180.0,,Completed,269401.5,2307.9,116.73014428701416,Brown,Brown,Success,ACA,29-02-2024,82.82,21-03-2024,84.96,2.59
05-03-2024,05-03-2024,05-03-2023,2023,TALO,Talos Energy Inc,Quarternorth Energy Holding Inc,,,,Completed,646960.3,1457.886,443.7660420636456,Brown,Brown,Success,TALO,23-02-2024,12.95,15-03-2024,12.85,-0.77
29-02-2024,29-02-2024,28-02-2023,2023,LUV,Southwest Airlines Co,LanzaJet Inc,,30.0,,Completed,20684739.36,26091.0,792.7921260204668,Green,Brown,Success,LUV,16-02-2024,32.97,11-03-2024,32.99,0.09
21-02-2024,21-02-2024,21-02-2023,2023,WEC,WEC Energy Group Inc,Samson I solar energy center/Wisconsin,,28.1,,Completed,19011373.22,8893.0,2137.790759023951,Green,Brown,Success,WEC,09-02-2024,73.98,04-03-2024,76.87,3.91
12-02-2024,12-02-2024,12-02-2023,2023,FANG,Diamondback Energy Inc,Endeavor Energy Resources LP,,24997.05,,Completed,1568750.324,8302.0,188.96053047458443,Brown,Brown,Success,FANG,01-02-2024,145.18,22-02-2024,168.01,15.72
10-02-2024,10-02-2024,10-02-2023,2023,SHEL,Shell PLC,45 fuel & convenience store sites/New Mexico,Brewer Oil Co,,,Completed,40524988.22,316620.0,127.99250907870632,Brown,Brown,Success,SHEL,30-01-2024,60.71,20-02-2024,61.12,0.67
09-02-2024,09-02-2024,09-02-2023,2023,VTLE,Vital Energy Inc,2nd producing assets/Permian Basin,"Henry Resources LLC,Moriah Henry Partners LLC,Henry Energy LP",78.0,,Completed,254174.781,1547.604,164.23760923336977,Neutral,Brown,Success,VTLE,29-01-2024,44.12,20-02-2024,45.69,3.56
09-02-2024,09-02-2024,09-02-2023,2023,MGEE,MGE Energy Inc,723.2 mw natural gas project/Wisconsin,Alliant Energy Corp,,,Completed,1771471.722,690.285,2566.290332254069,Brown,Brown,Success,MGEE,29-01-2024,64.21,20-02-2024,63.29,-1.44
06-02-2024,06-02-2024,06-02-2023,2023,DNOW,DNOW Inc,Whitco Supply LLC,,185.0,,Completed,19582.0,2321.0,8.436880654890134,Brown,Green,Success,DNOW,26-01-2024,10.11,16-02-2024,12.14,20.08
06-02-2024,06-02-2024,06-02-2023,2023,NWN,Northwest Natural Holding Co,Truxton Canyon Water Co Inc,,,,Completed,157587.886,1197.475,131.60014697592854,Neutral,Brown,Success,NWN,26-01-2024,36.4,16-02-2024,34.73,-4.59
05-02-2024,05-02-2024,05-02-2023,2023,AWK,American Water Works Co Inc,Appliance Service Plan/Consumers Energy,CMS Energy Corp,,,Completed,76351.624,4234.0,18.032976854038733,Neutral,Green,Success,AWK,25-01-2024,120.47,15-02-2024,121.44,0.81
02-02-2024,02-02-2024,02-02-2023,2023,MGEE,MGE Energy Inc,4 MW solar hybrid project west riverside energy center/Wisconsin,Alliant Energy Corp,,,Completed,1771471.722,690.285,2566.290332254069,Green,Brown,Success,MGEE,22-01-2024,66.85,12-02-2024,64.35,-3.74
01-02-2024,01-02-2024,01-02-2023,2023,WFRD,Weatherford International PLC,"Probe Technology Services Inc,Impact Selector International LLC",Turnbridge Capital LLC,,,Completed,116153.0,5135.0,22.619863680623173,Neutral,Green,Success,WFRD,19-01-2024,94.38,12-02-2024,96.75,2.51
31-01-2024,31-01-2024,31-01-2023,2023,AMPS,Altus Power Inc,84 MWs of commercial scale solar arrays/US,Vitol Holding BV,118.0,,Completed,645.849,155.162,4.162417344452894,Green,Green,Success,AMPS,19-01-2024,5.49,12-02-2024,6.92,26.05
30-01-2024,30-01-2024,30-01-2023,2023,WTTR,Select Water Solutions Inc,"Tri-State Water Logistics LLC,Iron Mountain Energy LLC,Facilities & recycling capacity/Rockies Region",,90.0,,Completed,244677.912,1585.353,154.33654965171797,Neutral,Brown,Success,WTTR,19-01-2024,6.89,09-02-2024,7.36,6.91
30-01-2024,30-01-2024,30-01-2023,2023,NVAX,NOV Inc,Extract Production Services LLC,"White Deer Management LLC,Riata Capital Group (Fund: RCG Equity Fund II LP)",,,Completed,11985.678,983.705,12.184219862662076,Brown,Green,Success,NVAX,19-01-2024,4.05,09-02-2024,4.03,-0.49
22-01-2024,22-01-2024,22-01-2023,2023,SUN,Sunoco LP,NuStar Energy LP,,6481.94,9.53,Completed,193605.8375,23068.0,8.392831519854344,Brown,Green,Success,SUN,11-01-2024,54.96,01-02-2024,55.08,0.22
16-01-2024,16-01-2024,16-01-2023,2023,TALO,Talos Energy Inc,QuarterNorth Energy Inc,,1312.46,,Completed,646960.3,1457.886,443.7660420636456,Brown,Brown,Success,TALO,05-01-2024,13.71,26-01-2024,13.18,-3.87
11-01-2024,11-01-2024,11-01-2023,2023,EXE,Expand Energy Corp,Southwestern Energy Co,,11597.17,1.35,Completed,408061.8115,8721.0,46.79071339295952,Brown,Brown,Success,EXE,29-12-2023,74.32,22-01-2024,72.74,-2.12
11-01-2024,11-01-2024,11-01-2023,2023,SUN,Sunoco LP,Zenith Energy Netherlands BV,Zenith Energy Ltd,186.17,,Completed,193605.8375,23068.0,8.392831519854344,Green,Green,Success,SUN,29-12-2023,55.41,22-01-2024,52.46,-5.32
04-01-2024,04-01-2024,04-01-2023,2023,APA,APA Corp,Callon Petroleum Co,,4454.48,2.04,Completed,5962692.557,8378.0,711.7083500835522,Brown,Brown,Success,APA,22-12-2023,34.4,16-01-2024,29.91,-13.04
28-12-2023,28-12-2023,28-12-2022,2022,NFE,New Fortress Energy Inc,1.6 GW Capacity Reserve Contract,Ceiba Energy LLC,,,Completed,679964.0,2368.272,287.1139801509286,Neutral,Brown,Success,NFE,15-12-2023,37.02,08-01-2024,35.8,-3.29
22-12-2023,22-12-2023,22-12-2022,2022,VTLE,Vital Energy Inc,Producing assets/Permian Basin,"Henry Resources LLC,Moriah Henry Partners LLC,Henry Energy LP",55.0,,Completed,386367.84,1920.796,201.1498566219421,Neutral,Brown,Success,VTLE,11-12-2023,42.62,02-01-2024,45.21,6.08
20-12-2023,20-12-2023,20-12-2022,2022,CPK,Chesapeake Utilities Corp,Propane Operating Assets/Jt Lee & Sons Inc,JT Lee & Sons Inc,3.9,,Completed,215226.0,680.704,316.1814827002633,Neutral,Brown,Success,CPK,08-12-2023,97.04,02-01-2024,102.95,6.09
14-12-2023,14-12-2023,14-12-2022,2022,SHEL,Shell PLC,Kaikias field/US Gulf of Mexico,Mitsui & Co Ltd,,,Completed,41006166.52,381314.0,107.5391056124349,Brown,Brown,Success,SHEL,01-12-2023,62.18,26-12-2023,62.82,1.04
11-12-2023,11-12-2023,11-12-2022,2022,OXY,Occidental Petroleum Corp,CrownRock LP,"Lime Rock Partners LLC,Crownquest Operating LLC",12000.0,,Completed,17551718.18,36634.0,479.11006660479336,Brown,Brown,Success,OXY,30-11-2023,57.73,21-12-2023,59.17,2.51
11-12-2023,11-12-2023,11-12-2022,2022,WCN,Waste Connections Inc,29 facilities/Secure Energy Services Inc,Secure Waste Infrastructure Co,791.74,,Completed,4812957.0,7211.859,667.3670408697674,Green,Brown,Success,WCN,30-11-2023,134.58,21-12-2023,146.31,8.72
07-12-2023,07-12-2023,07-12-2022,2022,ARRY,Array Technologies Inc,Litigation Solutions Inc,,,,Completed,287.0,1637.546,0.1752622521749007,Neutral,Green,Success,ARRY,24-11-2023,15.07,18-12-2023,18.97,25.88
04-12-2023,04-12-2023,04-12-2022,2022,PUMP,ProPetro Holding Corp,PAR Five Energy Services LLC,,25.4,,Completed,245111.495,1279.701,191.5380975712295,Brown,Green,Success,PUMP,22-11-2023,9.18,14-12-2023,8.59,-6.43
21-11-2023,21-11-2023,21-11-2022,2022,NOG,Northern Oil and Gas Inc,Core non operated properties/Northern Delaware,,162.6,,Completed,351378.5815,1570.535,223.7317738859688,Neutral,Brown,Success,NOG,10-11-2023,34.39,01-12-2023,35.87,4.29
06-11-2023,06-11-2023,06-11-2022,2022,VRN,Veren Inc,Hammerhead Energy Inc,,1710.59,,Completed,719333.0,3512.3,204.8039746035361,Green,Brown,Success,VRN,26-10-2023,7.6,16-11-2023,6.51,-14.36
03-11-2023,03-11-2023,03-11-2022,2022,ENB,Enbridge Inc,7 Operating landfill gas-to-RNG facilities/Morrow Renewables,Morrow Renewables LLC,1200.0,,Completed,7717086.429,53309.0,144.76141794068542,Green,Brown,Success,ENB,23-10-2023,29.97,13-11-2023,31.55,5.26
03-11-2023,03-11-2023,03-11-2022,2022,FET,Forum Energy Technologies Inc,Variperm Energy Services Inc,,155.28,,Completed,8352.062,699.913,11.933000244316078,Brown,Green,Success,FET,23-10-2023,22.66,13-11-2023,23.14,2.12
02-11-2023,02-11-2023,02-11-2022,2022,COP,ConocoPhillips,Torys LLP,,,,Completed,4988534.867526666,78494.0,63.553072432627545,Neutral,Brown,Success,COP,20-10-2023,119.11,13-11-2023,111.31,-6.54
01-11-2023,01-11-2023,01-11-2022,2022,BIP,Brookfield Infrastructure Partners LP,Portfolio of 2 Data centres/Silicon Valley,Digital Core REIT Management Pte Ltd,160.2,,Completed,2453832.899,14427.0,170.08615089762253,Neutral,Brown,Success,BIP,20-10-2023,21.97,13-11-2023,23.97,9.13
