Announce Date,Reference_Year,Ticker,Acquirer Name,Annual_Sales,Acquirer_GHG_Emissions,Carbon_Intensity,Acquirer_Classification,Target Name,Target_Classification,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status
29-10-2024,2023,CECO,CECO Environmental Corp,544.845,5978.081,10.9721,Green,Profire Energy Inc,Brown,,107.64,8.3,Completed
24-10-2024,2023,D,Dominion Energy Inc,14393,29523724,2673.0816,Brown,Kitty Hawk North offshore wind lease area/Kitty Hawk,Green,Avangrid Inc,160,,Completed
23-10-2024,2023,SHEL,Shell PLC,316620,40524988.22,271.7385,Brown,RISEC Holdings LLC,Neutral,"Electricity Generating PCL,Carlyle Group Inc/The (Fund: Abingworth Bioventures 9 LP)",,,Completed
15-10-2024,2023,CIFR,Cipher Mining Inc,126.842,476.454,3.7563,Green,1.5 GW of Data Center/Texas,Neutral,Juvo Energy Ltd,4.1,,Completed
07-10-2024,2023,CRK,Comstock Resources Inc,1565.109,402370.886,478.3784,Brown,Quantum Generative Materials LLC,Green,,,,Completed
04-10-2024,2023,DSGR,Distribution Solutions Group I,1570.402,21419.678,13.6396,Green,ConRes Test Equipment/Continental Resources Inc,Brown,Continental Resources Inc/OK,,,Completed
01-10-2024,2023,SMC,Summit Midstream Corp,458.903,10916116.91,23787.4168,Brown,Tall Oak Midstream LLC,Brown,Tailwater Capital LLC,425.18,,Completed
30-09-2024,2023,ULBI,Ultralife Corp,158.644,5610.406,39.8598,Brown,Electrochem Solutions Inc,Green,Integer Holdings Corp,50,,Completed
12-09-2024,2023,APO,Apollo Global Management Inc,32781,1182,0.1,Green,Freedom CNG Management LLC,Brown,,,,Completed
03-09-2024,2023,WFRD,Weatherford International PLC,5135,116153,22.6199,Green,Datagration LLC,Neutral,,,,Completed
29-08-2024,2023,OKE,ONEOK Inc,17677,3994126.195,280.2397,Brown,Medallion Midstream LLC,Brown,Global Infrastructure Management LLC,2600,,Completed
27-08-2024,2023,TPL,Texas Pacific Land Corp,631.595,13819,21.8795,Green,2 oil & gas mineral interests/Permian Basin,Brown,,169,,Completed
06-08-2024,2023,CEG,Constellation Energy Corp,24918,9679181,579.5398,Brown,Constellation South Texas LLC,Brown,,,,Completed
06-08-2024,2023,MPLX,MPLX LP,11281,5401376.567,87.7545,Brown,BANGL NGL pipeline/Permian,Brown,,,,Completed
29-07-2024,2023,PR,Permian Resources Corp,3120.893,892378.209,369.5357,Brown,Certain Basin assets/Texas,Neutral,Occidental Petroleum Corp,818,,Completed
29-07-2024,2023,SD,SandRidge Energy Inc,148.641,33621.262,435.6299,Brown,Certain Assets,Neutral,,144,,Completed
23-07-2024,2023,FLS,Flowserve Corp,4320.577,14551.5,3.368,Green,Intellectual Property & LNG Pumping Technology/NexGen Cryogenic Solutions Inc,Brown,Nexgen Cryogenic Solutions Inc,,,Completed
22-07-2024,2023,AROC,Archrock Inc,990.337,18566.676,18.1255,Green,Total Operations & Production Services LLC,Green,Apollo Global Management Inc,969.63,,Completed
22-07-2024,2023,DOV,Dover Corp,7684.476,54787,17.253,Green,Marshall Excelsior Co,Neutral,Harbour Group Industries Inc,395,,Completed
10-07-2024,2023,HON,Honeywell International Inc,36662,695159.079,91.2639,Brown,Liquefied natural gas process technology and equipment business/Allentown,Brown,Air Products and Chemicals Inc,1810,,Completed
09-07-2024,2023,SEI,Solaris Energy Infrastructure,292.947,4068.426,18.1944,Green,Mobile Energy Rentals LLC,Neutral,,198.63,,Completed
09-07-2024,2023,UTL,Unitil Corp,557.1,20546.162,36.8806,Brown,Bangor Natural Gas Co,Brown,Hearthstone Utilities Inc,70.9,,Completed
08-07-2024,2023,DVN,Devon Energy Corp,15258,2188624.653,708.9498,Brown,Williston Basin business/Grayson Mill Energy LLC,Brown,Grayson Mill Energy LLC,5000,,Completed
30-06-2024,2023,AMPS,Altus Power Inc,155.162,645.849,4.3535,Green,9.8 MW solar energy facilities/Massachusetts,Green,,9.8,,Completed
27-06-2024,2023,GNRC,Generac Holdings Inc,4022.667,34280,31.4087,Brown,PowerPlay Battery Energy Storage Systems/SunGrid Solutions Inc,Green,Sungrid Solutions Inc,,,Completed
24-06-2024,2023,AMPS,Altus Power Inc,155.162,645.849,4.3535,Green,8.5 MW solar array/New Jersey,Green,,,,Completed
12-06-2024,2023,MTDR,Matador Resources Co,2808.046,1051432,471.645,Brown,Ameredev Stateline II LLC,Brown,"Ameredev II Parent LLC,Ameredev Intermediate II LLC",1905,,Completed
10-06-2024,2023,NE,Noble Corp PLC,2589.018,880644,340.146,Brown,Diamond Offshore Drilling Inc,Brown,,2171.27,12.19,Completed
03-06-2024,2023,PUMP,ProPetro Holding Corp,1630.399,294004.681,18.1255,Green,Aqua Prop LLC,Brown,,24.88,,Completed
28-05-2024,2023,COP,ConocoPhillips,56141,8221074.884,332.2106,Brown,Marathon Oil Corp,Brown,,22921.61,5.22,Completed
22-05-2024,2023,KMI,Kinder Morgan Inc,15334,14900000,169.5854,Brown,Oil & gas producing assets/US,Brown,,100,,Completed
16-05-2024,2023,CRGY,Crescent Energy Co,2382.602,671906.162,367.4282,Brown,SilverBow Resources Inc,Brown,,2025.54,4.52,Completed
13-05-2024,2023,OKE,ONEOK Inc,17677,3994126.195,280.2397,Brown,Certain pipeline systems/Gulf Coast,Neutral,Easton Energy LLC,280,,Completed
09-05-2024,2023,KNTK,Kinetik Holdings Inc,1256.412,2020748.926,1608.349,Brown,Durango Permian LLC,Brown,Morgan Stanley Energy Partners,315,,Completed
30-04-2024,2023,PWR,Quanta Services Inc,20882.206,988361.193,25.6389,Brown,Sherman + Reilly Inc,Neutral,Greenlee Textron Inc,,,Completed
29-04-2024,2023,TMHC,Taylor Morrison Home Corp,7417.831,117397.114,15.8263,Green,Pyatt Builders LLC,Neutral,,,,Completed
26-04-2024,2023,APO,Apollo Global Management Inc,32781,1182,0.1,Green,US Silica Holdings Inc,Brown,,1850,4.32,Completed
15-04-2024,2023,EQNR,Equinor ASA,106848,11449109.44,152.8418,Brown,Non-operated natural gas assets/EQT Corp,Brown,EQT Corp,500,,Completed
01-04-2024,2023,AM,Antero Midstream Corp,1041.771,1021615.772,946.8638,Brown,Gathering & compression assets/Summit Midstream Partners LP,Brown,Summit Midstream Partners LP,70,,Completed
01-04-2024,2023,WTTR,Select Water Solutions Inc,1585.353,244677.912,93.8009,Brown,Trinity Environmental Services LLC,Green,,,,Completed
29-03-2024,2023,LUV,Southwest Airlines Co,26091,20684739.36,792.7921,Brown,SAFFiRE Renewables LLC,Green ,,,,Completed
22-03-2024,2023,MPLX,MPLX LP,11281,5401376.567,87.7545,Brown,Summit Midstream Utica LLC,Brown,Summit Midstream Partners LP,625,,Completed
22-03-2024,2023,REPX,Riley Exploration Permian Inc,375.047,84832.27,145.8557,Brown,Upstream oil & gas assets/Eddy County,Brown,Contango Oil & Gas Co,20.5,,Completed
18-03-2024,2023,INVX,Innovex International Inc,555.539,8890.858063,16.004,Green,Innovex Downhole Solutions Inc,Brown,,739.4,7.13,Completed
12-03-2024,2023,BLK,BlackRock Inc,17859,6689,0.5499,Green,38 solar energy & solar plus storage projects/Excelsior Energy Capital LP,Green,Excelsior Energy Capital LP,,,Completed
11-03-2024,2023,EQT,EQT Corp,5647.763,334460.4355,258.5549,Brown,Equitrans Midstream Corp,Brown,,12880.88,12.38,Completed
11-03-2024,2023,ACA,Arcosa Inc,2307.9,269401.5,116.7301,Brown,Ameron Pole Products LLC,Brown,NOV Inc,180,,Completed
05-03-2024,2023,TALO,Talos Energy Inc,1457.886,646960.3,943.1981,Brown,Quarternorth Energy Holding Inc,Brown,,,,Completed
29-02-2024,2023,LUV,Southwest Airlines Co,26091,20684739.36,792.7921,Brown,LanzaJet Inc,Green,,30,,Completed
21-02-2024,2023,WEC,WEC Energy Group Inc,8893,19011373.22,4866.8609,Brown,Samson I solar energy center/Wisconsin,Green,,28.1,,Completed
12-02-2024,2023,FANG,Diamondback Energy Inc,8302,1568750.324,284.1958,Brown,Endeavor Energy Resources LP,Brown,,24997.05,,Completed
10-02-2024,2023,SHEL,Shell PLC,316620,40524988.22,271.7385,Brown,45 fuel & convenience store sites/New Mexico,Brown,Brewer Oil Co,,,Completed
09-02-2024,2023,VTLE,Vital Energy Inc,1547.604,254174.781,201.1499,Brown,2nd producing assets/Permian Basin,Neutral,"Henry Resources LLC,Moriah Henry Partners LLC,Henry Energy LP",78,,Completed
09-02-2024,2023,MGEE,MGE Energy Inc,690.285,1771471.722,2566.2903,Brown,723.2 mw natural gas project/Wisconsin,Brown,Alliant Energy Corp,,,Completed
06-02-2024,2023,DNOW,DNOW Inc,2321,19582,23.8097,Green,Whitco Supply LLC,Brown,,185,,Completed
06-02-2024,2023,NWN,Northwest Natural Holding Co,1197.475,157587.886,131.6001,Brown,Truxton Canyon Water Co Inc,Neutral,,,,Completed
05-02-2024,2023,AWK,American Water Works Co Inc,4234,76351.624,22.0598,Green,Appliance Service Plan/Consumers Energy,Neutral,CMS Energy Corp,,,Completed
02-02-2024,2023,MGEE,MGE Energy Inc,690.285,1771471.722,2566.2903,Brown,4 MW solar hybrid project west riverside energy center/Wisconsin,Green,Alliant Energy Corp,,,Completed
01-02-2024,2023,WFRD,Weatherford International PLC,5135,116153,22.6199,Green,"Probe Technology Services Inc,Impact Selector International LLC",Neutral,Turnbridge Capital LLC,,,Completed
31-01-2024,2023,AMPS,Altus Power Inc,155.162,645.849,4.3535,Green,84 MWs of commercial scale solar arrays/US,Green,Vitol Holding BV,118,,Completed
30-01-2024,2023,WTTR,Select Water Solutions Inc,1585.353,244677.912,93.8009,Brown,"Tri-State Water Logistics LLC,Iron Mountain Energy LLC,Facilities & recycling capacity/Rockies Region",Neutral,,90,,Completed
30-01-2024,2023,NVAX,NOV Inc,983.705,11985.678,22.11,Green,Extract Production Services LLC,Brown,"White Deer Management LLC,Riata Capital Group (Fund: RCG Equity Fund II LP)",,,Completed
22-01-2024,2023,SUN,Sunoco LP,23068,193605.8375,5.8905,Green,NuStar Energy LP,Brown,,6481.94,9.53,Completed
16-01-2024,2023,TALO,Talos Energy Inc,1457.886,646960.3,943.1981,Brown,QuarterNorth Energy Inc,Brown,,1312.46,,Completed
11-01-2024,2023,EXE,Expand Energy Corp,8721,408061.8115,178.5706,Brown,Southwestern Energy Co,Brown,,11597.17,1.35,Completed
11-01-2024,2023,SUN,Sunoco LP,23068,193605.8375,5.8905,Green,Zenith Energy Netherlands BV,Green,Zenith Energy Ltd,186.17,,Completed
04-01-2024,2023,APA,APA Corp,8378,5962692.557,774.5712,Brown,Callon Petroleum Co,Brown,,4454.48,2.04,Completed
28-12-2023,2022,NFE,New Fortress Energy Inc,2368.272,679964,2143.0068,Brown,1.6 GW Capacity Reserve Contract,Neutral,Ceiba Energy LLC,,,Completed
22-12-2023,2022,VTLE,Vital Energy Inc,1920.796,386367.84,201.1499,Brown,Producing assets/Permian Basin,Neutral,"Henry Resources LLC,Moriah Henry Partners LLC,Henry Energy LP",55,,Completed
20-12-2023,2022,CPK,Chesapeake Utilities Corp,680.704,215226,199.8142,Brown,Propane Operating Assets/Jt Lee & Sons Inc,Neutral,JT Lee & Sons Inc,3.9,,Completed
14-12-2023,2022,SHEL,Shell PLC,381314,41006166.52,271.7385,Brown,Kaikias field/US Gulf of Mexico,Brown,Mitsui & Co Ltd,,,Completed
11-12-2023,2022,OXY,Occidental Petroleum Corp,36634,17551718.18,743.488,Brown,CrownRock LP,Brown,"Lime Rock Partners LLC,Crownquest Operating LLC",12000,,Completed
11-12-2023,2022,WCN,Waste Connections Inc,7211.859,4812957,667.367,Brown,29 facilities/Secure Energy Services Inc,Green,Secure Waste Infrastructure Co,791.74,,Completed
07-12-2023,2022,ARRY,Array Technologies Inc,1637.546,287,0.1753,Green,Litigation Solutions Inc,Neutral,,,,Completed
04-12-2023,2022,PUMP,ProPetro Holding Corp,1279.701,245111.495,18.1255,Green,PAR Five Energy Services LLC,Brown,,25.4,,Completed
21-11-2023,2022,NOG,Northern Oil and Gas Inc,1570.535,351378.5815,863.4427,Brown,Core non operated properties/Northern Delaware,Neutral,,162.6,,Completed
06-11-2023,2022,VRN,Veren Inc,3512.3,719333,502.3677,Brown,Hammerhead Energy Inc,Green,,1710.59,,Completed
03-11-2023,2022,ENB,Enbridge Inc,53309,7717086.429,82.1969,Brown,7 Operating landfill gas-to-RNG facilities/Morrow Renewables,Green,Morrow Renewables LLC,1200,,Completed
03-11-2023,2022,FET,Forum Energy Technologies Inc,699.913,8352.062,13.5253,Green,Variperm Energy Services Inc,Brown,,155.28,,Completed
02-11-2023,2022,COP,ConocoPhillips,78494,4988534.867526666,332.2106,Brown,Torys LLP,Neutral,,,,Completed
01-11-2023,2022,BIP,Brookfield Infrastructure Partners LP,14427,2453832.899,120.732,Brown,Portfolio of 2 Data centres/Silicon Valley,Neutral,Digital Core REIT Management Pte Ltd,160.2,,Completed
23-10-2023,2022,BIP,Brookfield Infrastructure Partners LP,14427,2453832.899,120.732,Brown,Data centers/Cyxtera Technologies Inc,Neutral,Cyxtera Technologies Inc,775,,Completed
23-10-2023,2022,ORA,Ormat Technologies Inc,734.159,192441.769,256.4417,Brown,Portfolio of 150 MW Operating Geothermal & Solar Assets/Nevada,Green,Enel SpA,271,,Completed
13-10-2023,2022,HLX,Helix Energy Solutions Group Inc,873.1,226639.444,24.3523,Green,Plugging & Abandonment Business/QuarterNorth Energy LLC,Brown,QuarterNorth Energy LLC,,,Completed
11-10-2023,2022,XOM,Exxon Mobil Corp,398675,109000000,598.3284,Brown,Pioneer Natural Resources Co,Brown,,67995.45,5.39,Completed
09-10-2023,2022,VTS,Vitesse Energy Inc,300.07,43.78101401,0.1459,Green,Williston Basin/North Dakota,Neutral,,,,Completed
05-10-2023,2022,XIFR,XPLR Infrastructure LP,969,90846.347,5.287,Green,South Texas Midstream LLC,Brown,,,,Completed
04-10-2023,2022,CIVI,Civitas Resources Inc,3791.398,1250800,354.6455,Brown,Oil producing assets/Midland Basin,Brown,Vencer Energy LLC,2135.7,,Completed
27-09-2023,2022,CPK,Chesapeake Utilities Corp,680.704,215226,199.8142,Brown,Florida City Gas Co,Brown,NextEra Energy Inc,923,,Completed
26-09-2023,2022,CPK,Chesapeake Utilities Corp,680.704,215226,199.8142,Brown,Pivotal Utility Holdings Inc,Brown,Florida Power & Light Co,923.4,,Completed
18-09-2023,2022,GPRE,Green Plains Inc,3662.849,1296632.039,373.7611,Brown,Green Plains Partners LP,Green,,280.01,7.03,Completed
14-09-2023,2022,CVX,Chevron Corp,235717,53000000,478.9338,Brown,ACES Delta project/Central,Green,,,,Completed
12-09-2023,2022,FTV,Fortive Corp,5825.7,24419.553,4.1917,Green,Solmetric Corp,Green,Vivint Solar Inc,,,Completed
12-09-2023,2022,CVX,Chevron Corp,235717,53000000,478.9338,Brown,Magnum Development LLC,Brown,NGL Energy Partners LP,,,Completed
07-09-2023,2022,TS,Tenaris SA,11762.526,590.4629236,0.0502,Green,Pipe processing facility/Republic Tube LLC,Neutral,Republic Tube LLC,,,Completed
06-09-2023,2022,ENB,Enbridge Inc,53309,7717086.429,82.1969,Brown,Wexpro Co,Brown,Dominion Energy Inc,4300,,Completed
06-09-2023,2022,ENB,Enbridge Inc,53309,7717086.429,82.1969,Brown,Public Service Co of North Carolina Inc,Brown,Dominion Energy Inc,3200,13.54,Completed
06-09-2023,2022,ENB,Enbridge Inc,53309,7717086.429,82.1969,Brown,Questar Gas Co,Brown,Dominion Energy Inc,,,Completed
05-09-2023,2022,ENB,Enbridge Inc,53309,7717086.429,82.1969,Brown,East Ohio Gas Co/The,Brown,Dominion Energy Inc,6600,,Completed
05-09-2023,2022,WES,Western Midstream Partners LP,3251.721,278766.1591,3.0762,Green,Meritage Midstream Services II LLC,Brown,Riverstone Holdings LLC,885,,Completed
23-08-2023,2022,FSV,FirstService Corp,3745.835,42324.019,11.299,Green,Case Restoration Inc,Neutral,,,,Completed
22-08-2023,2022,EQT,EQT Corp,6185.336,341957.7,258.5549,Brown,"THQ Appalachia I LLC,THQ-XcL Holdings I Midco LLC",Neutral,Quantum Energy Partners LLC,4498.28,,Completed
21-08-2023,2022,PR,Permian Resources Corp,2131.265,785931.983,369.5357,Brown,Earthstone Energy Inc,Brown,,2809.78,2.21,Completed
21-08-2023,2022,SPRU,Spruce Power Holding Corp,23.194,108.615,11.9472,Green,Portfolio of 2400 residential solar systems/California,Green,,,,Completed
16-08-2023,2022,DINO,HF Sinclair Corp,38204.839,8525000,489.9119,Brown,Holly Energy Partners LP,Brown,,3748.21,13.04,Completed
16-08-2023,2022,OXY,Occidental Petroleum Corp,36634,17551718.18,743.488,Brown,Carbon Engineering Ltd,Green,"BHP Group Ltd,Airbus SE,Air Canada,Thomvest Ventures Inc,Lowercase Capital LLC (Fund: Lowercase Frontier LP),Starlight Ventures Inc,First Round Capital (Fund: First Round Capital VII LP),Oxy Low Carbon Ventures LLC,Bethel Lands Corp Ltd,Carbon Order Ltd,Rusheen Capital Management LLC,Chevron ...",813.12,,Completed
14-08-2023,2022,TS,Tenaris SA,11762.526,590.4629236,0.0502,Green,Pipeline Performance Group LLC,Brown,Mattr Corp,182.6,,Completed
11-08-2023,2022,AMRC,Ameresco Inc,1824.422,324048,23.7158,Green,Clean energy asset/Bright Canyon Energy Corp,Green,Pinnacle West Capital Corp,,,Completed
02-08-2023,2022,NU,Eversource Energy,4792.231,67.3,0.014,Green,Community water system/Pinehills Water Co,Neutral,Pinehills Water Co Inc,,,Completed
01-08-2023,2022,VST,Vistra Corp,13728,31607742.707216334,10124.5707,Brown,Tricor Group LLC,Neutral,,,,Completed
19-07-2023,2022,AMPS,Altus Power Inc,101.163,440.413,4.3535,Green,4.4 MW operating solar assets/Southern California,Green,Apollo Global Management Inc,,,Completed
18-07-2023,2022,BRY,Berry Corp,918.341,668476.6689,1537.2871,Brown,Macpherson Energy Corp,Brown,,70,,Completed
13-07-2023,2022,XOM,Exxon Mobil Corp,398675,109000000,598.3284,Brown,Denbury Inc,Brown,,4522.62,7.72,Completed
11-07-2023,2022,REI,Ring Energy Inc,347.2495,191090,479.2399,Brown,Central Basin Platform asset/Founders Oil & Gas IV LLC,Brown,Founders Oil & Gas IV LLC,75,,Completed
05-07-2023,2022,PTEN,Patterson-UTI Energy Inc,2647.592,272020.562,105.9872,Brown,Ulterra Drilling Technologies LP,Brown,Blackstone Inc,773.48,,Completed
05-07-2023,2022,NXU,Nxu Inc,0,1258.648,,,21000 sq ft facility/Tempe,Neutral,,,,Completed
01-07-2023,2022,VTLE,Vital Energy Inc,1920.796,386367.84,201.1499,Brown,Portfolio of basin assets/Tall City Property Holdings III LLC,Brown,Tall City Property Holdings III LLC,353.5,,Completed
30-06-2023,2022,CMI,Cummins Inc,28074,154826.9672,12.8716,Green,Hydrogenics Corp,Green,Air Liquide SA,,,Completed
30-06-2023,2022,NOG,Northern Oil and Gas Inc,1570.535,351378.5815,863.4427,Brown,Delaware Basin assets/Forge Energy II LLC,Neutral,Vital Energy Inc,,,Completed
20-06-2023,2022,CIVI,Civitas Resources Inc,3791.398,1250800,354.6455,Brown,Hibernia Energy III LLC,Brown,NGP Energy Capital Management LLC,2250,,Completed
19-06-2023,2022,CIVI,Civitas Resources Inc,3791.398,1250800,354.6455,Brown,Tap Rock Resources LLC,Brown,NGP Energy Capital Management LLC,2450,,Completed
15-06-2023,2022,PTEN,Patterson-UTI Energy Inc,2647.592,272020.562,105.9872,Brown,NexTier Oilfield Solutions Inc,Neutral,,2106.35,3.72,Completed
15-06-2023,2022,NOG,Northern Oil and Gas Inc,1570.535,351378.5815,863.4427,Brown,Delaware basin assets/Northern,Green,Earthstone Energy Inc,468.4,,Completed
01-06-2023,2022,CEG,Constellation Energy Corp,24440,9108347,579.5398,Brown,South Texas Project Electric Generating Station/Houston,Brown,NRG Energy Inc,1750,,Completed
26-05-2023,2022,COP,ConocoPhillips,78494,4988534.867526666,332.2106,Brown,Surmont Sand & Gravel Ltd,Brown,TotalEnergies SE,3000,,Completed
22-05-2023,2022,CVX,Chevron Corp,235717,53000000,478.9338,Brown,PDC Energy Inc,Brown,,7874.41,2.66,Completed
12-05-2023,2022,VTLE,Vital Energy Inc,1920.796,386367.84,201.1499,Brown,Forge Energy II LLC,Neutral,EnCap Investments LP,378,,Completed
04-05-2023,2022,SUN,Sunoco LP,25729,106370.6675,5.8905,Green,16 refined product terminals/East Coast & Midwes,Neutral,Zenith Energy Ltd,110,,Completed
03-05-2023,2022,CRGY,Crescent Energy Co,3057.065,1123252,367.4282,Brown,Western Eagle Ford asset/US,Neutral,Mesquite Exploration Ltd,600,,Completed
01-05-2023,2022,ENB,Enbridge Inc,53309,7717086.429,82.1969,Brown,"Aitken Creek natural gas storage facility/British Columbia,Aitken Creek North gas storage facility/British Columbia",Brown,Fortis Inc/Canada,295.56,,Completed
28-04-2023,2022,TRP,TC Energy Corp,12309,21133585.11,1386.3467,Brown,155 MW Fluvanna Wind Farm/Scurry County,Green,,99,,Completed
27-04-2023,2022,SU,Suncor Energy Inc,58336,16817507.15,238.9831,Brown,TotalEnergies EP Canada Ltd,Brown,TotalEnergies SE,1078.1,,Completed
20-04-2023,2022,WULF,Terawulf Inc,15.033,49.204,3.2731,Green,Nautilus Cryptomine facility,Brown,Cumulus Coin LLC,,,Completed
12-04-2023,2022,WHD,Cactus Inc,688.369,8664.043,12.5863,Green,Flexsteel Pipeline Technologies Inc,Brown,,,,Completed
11-04-2023,2022,D,Dominion Energy Inc,13938,16875266.4,2673.0816,Brown,108 MWdc Foxhound Solar project/Longroad Energy Holdings LLC,Green,Longroad Energy Holdings LLC,,,Completed
10-04-2023,2022,LBRT,Liberty Energy Inc,4149.228,1995196,17.1572,Green,Siren Energy LLC,Green,,75.7,,Completed
03-04-2023,2022,OVV,Ovintiv Inc,12464,2871927.309,817.409,Brown,"PetroLegacy Energy I LLC,Piedra Resources LLC,Black Swan Oil & Gas LLC",Brown,EnCap Investments LP,4321.93,,Completed
28-03-2023,2022,VRN,Veren Inc,3512.3,719333,502.3677,Brown,Spartans oil & liquids-rich Montney assets/Spartan Delta Corp,Brown,Spartan Delta Corp,1249.5,,Completed
24-03-2023,2022,SPRU,Spruce Power Holding Corp,23.194,108.615,11.9472,Green,SS Holdings 2017 LLC,Neutral,,,,Completed
08-03-2023,2022,KLXE,KLX Energy Services Holdings Inc,781.6,12508.743,16.004,Green,Greene's Energy Group LLC,Brown,Denham Capital Management LP,,,Completed
06-03-2023,2022,VST,Vistra Corp,13728,31607742.707216334,10124.5707,Brown,Energy Harbor Corp,Green,,6763,,Completed
03-03-2023,2022,EQNR,Equinor ASA,149004,11434603.14,152.8418,Brown,Suncor Energy UK Ltd,Green,Suncor Energy Inc,882.48,,Completed
02-03-2023,2022,PLUG,Plug Power Inc,701.44,17435.663,44.3565,Brown,Alloy Custom Products LLC,Brown,Cryogenic Industrial Solutions LLC,,,Completed
02-03-2023,2022,PLUG,Plug Power Inc,701.44,17435.663,44.3565,Brown,WesMor Cryogenics LLC,Brown,Cryogenic Industrial Solutions LLC,,,Completed
28-02-2023,2022,REPX,Riley Exploration Permian Inc,321.743,46928.06543,145.8557,Brown,Oil & gas assets/Pecos Oil & Gas LLC,Brown,Pecos Oil & Gas LLC,330,,Completed
16-02-2023,2022,DNOW,DNOW Inc,2136,19243,23.8097,Green,EcoVapor Recovery Systems LLC,Green,,,,Completed
15-02-2023,2022,VTLE,Vital Energy Inc,1920.796,386367.84,201.1499,Brown,Driftwood Energy Operating LLC,Brown,,212.94,,Completed
06-02-2023,2022,GLNG,Golar LNG Ltd,267.74,777147.646,2902.6206,Brown,2.4 MTPA floating liquefaction facility,Neutral,New Fortress Energy Inc,193.72,,Completed
24-01-2023,2022,MTDR,Matador Resources Co,3039.216,973869,471.645,Brown,Advance Energy Partners Holdings LLC,Neutral,EnCap Investments LP,1600,,Completed
