Deal Announce Date,Previous Year,Acquirer Ticker,Acquirer Name,Acquirer_GHG_Emissions,Carbon_Intensity,Acquirer_Classification,Target Name,Target_Classification,Seller Name,Announced Total Value (mil.),T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Market_Cap_AD_mil,ROA_percent,Deal Status
06-11-2024,2023,NOW,ServiceNow Inc,2430,0.0118,Green,Mission Secure Inc,Neutral,"Motor Oil Hellas Corinth Refineries SA,University of Virginia,Macquarie Group Ltd (Fund: Macquarie Global Opportunities Partners LP),Ballast Fund/The,R/GA Ventures LLC,Felton Group LLC,Blue Bear Capital LLC (Fund: Blue Bear Capital Partners LP),Energy Innovation Capital Management LLC (Fund: ...",,25-10-2024,950.85,18-11-2024,1005.34,205347.2,1.88,Completed
31-10-2024,2023,AEE,Ameren Corp,9890558.98,423.7807,Brown,Huck Finn Renewable Energy center/Missouri,Green,,,18-10-2024,88.19,11-11-2024,91.62,23338.86,0.46,Completed
30-10-2024,2023,EQNR,Equinor ASA,11449109.44,176.4628,Brown,Northern Marcellus gas unit/US,Brown,EQT Corp,1250,18-10-2024,23.45,11-11-2024,22.15,64881.14,1.69,Completed
29-10-2024,2023,CECO,CECO Environmental Corp,5978.08,7.5732,Green,Profire Energy Inc,Neutral,,107.64,18-10-2024,26.86,08-11-2024,25.08,789.37,0.64,Completed
24-10-2024,2023,D,Dominion Energy Inc,29523724,583.5402,Brown,Kitty Hawk North offshore wind lease area/Kitty Hawk,Green,Avangrid Inc,160,11-10-2024,54.93,04-11-2024,56.3,50594.16,-0.07,Completed
23-10-2024,2023,SHEL,Shell PLC,40524988.22,207.0467,Brown,RISEC Holdings LLC,Neutral,"Electricity Generating PCL,Carlyle Group Inc/The (Fund: Abingworth Bioventures 9 LP)",,11-10-2024,67.05,04-11-2024,66.32,195728.77,1.09,Completed
15-10-2024,2023,CIFR,Cipher Mining Inc,476.45,0.3009,Green,1.5 GW of Data Center/Texas,Neutral,Juvo Energy Ltd,4.1,04-10-2024,4.1,25-10-2024,5.46,1583.5,2.05,Completed
07-10-2024,2023,CRK,Comstock Resources Inc,402370.89,113.6195,Brown,Quantum Generative Materials LLC,Neutral,,,26-09-2024,10.93,17-10-2024,11.61,3541.39,-0.74,Completed
04-10-2024,2023,DSGR,Distribution Solutions Group I,21419.68,11.7956,Brown,ConRes Test Equipment/Continental Resources Inc,Neutral,Continental Resources Inc/OK,,23-09-2024,37.91,14-10-2024,40.12,1815.91,1.23,Completed
01-10-2024,2023,SMC,Summit Midstream Corp,10916116.91,29756.3498,Brown,Tall Oak Midstream LLC,Neutral,Tailwater Capital LLC,425.18,20-09-2024,35.91,11-10-2024,36.15,366.85,-9.88,Completed
30-09-2024,2023,ULBI,Ultralife Corp,5610.41,37.3256,Brown,Electrochem Solutions Inc,Neutral,Integer Holdings Corp,50,19-09-2024,9.58,10-10-2024,8.96,150.31,0.15,Completed
12-09-2024,2023,APO,Apollo Global Management Inc,1182,0.0185,Green,Freedom CNG Management LLC,Neutral,,,30-08-2024,115.07,23-09-2024,124.52,63741.66,0.39,Completed
03-09-2024,2023,WFRD,Weatherford International PLC,116153,16.476,Brown,Datagration LLC,Neutral,,,23-08-2024,107.3,13-09-2024,90.93,7049.81,2.17,Completed
29-08-2024,2023,OKE,ONEOK Inc,3994126.2,72.4642,Brown,Medallion Midstream LLC,Neutral,Global Infrastructure Management LLC,2600,16-08-2024,85.65,09-09-2024,90.13,55118.58,1.44,Completed
27-08-2024,2023,TPL,Texas Pacific Land Corp,13819,0.7021,Green,2 oil & gas mineral interests/Permian Basin,Brown,,169,16-08-2024,819.56,06-09-2024,797.71,19682.05,9.48,Completed
06-08-2024,2023,CEG,Constellation Energy Corp,9679181,171.483,Brown,Constellation South Texas LLC,Neutral,,,26-07-2024,174.44,16-08-2024,189.68,56443.98,1.61,Completed
06-08-2024,2023,MPLX,MPLX LP,5401376.57,134.7042,Brown,BANGL NGL pipeline/Permian,Neutral,,,26-07-2024,40.6,16-08-2024,40.76,40098.06,2.93,Completed
29-07-2024,2023,PR,Permian Resources Corp,892378.21,84.7229,Brown,Certain Basin assets/Texas,Neutral,Occidental Petroleum Corp,818,18-07-2024,15.86,08-08-2024,14.18,10532.91,1.28,Completed
29-07-2024,2023,SD,SandRidge Energy Inc,33621.26,69.887,Brown,Certain Assets,Neutral,,144,18-07-2024,13.14,08-08-2024,12.42,481.08,4.51,Completed
23-07-2024,2023,FLS,Flowserve Corp,14551.5,2.1939,Green,Intellectual Property & LNG Pumping Technology/NexGen Cryogenic Solutions Inc,Neutral,Nexgen Cryogenic Solutions Inc,,12-07-2024,48,02-08-2024,46.47,6632.79,1.41,Completed
22-07-2024,2023,AROC,Archrock Inc,18566.68,4.6499,Green,Total Operations & Production Services LLC,Neutral,Apollo Global Management Inc,969.63,11-07-2024,20.97,01-08-2024,19.05,3992.96,1.56,Completed
22-07-2024,2023,DOV,Dover Corp,54787,2.2215,Green,Marshall Excelsior Co,Neutral,Harbour Group Industries Inc,395,11-07-2024,180.66,01-08-2024,177.73,24661.74,11.48,Completed
10-07-2024,2023,HON,Honeywell International Inc,695159.08,5.0657,Green,Liquefied natural gas process technology and equipment business/Allentown,Brown,Air Products and Chemicals Inc,1810,28-06-2024,210.21,22-07-2024,213.59,137228.91,1.71,Completed
09-07-2024,2023,SEI,Solaris Energy Infrastructure,4068.43,13.1299,Brown,Mobile Energy Rentals LLC,Neutral,,198.63,28-06-2024,8.46,19-07-2024,12.73,309.86,-0.1,Completed
09-07-2024,2023,UTL,Unitil Corp,20546.16,24.9722,Brown,Bangor Natural Gas Co,Brown,Hearthstone Utilities Inc,70.9,28-06-2024,50.64,19-07-2024,56,822.76,0.87,Completed
08-07-2024,2023,DVN,Devon Energy Corp,2188624.65,73.8238,Brown,Williston Basin business/Grayson Mill Energy LLC,Neutral,Grayson Mill Energy LLC,5000,27-06-2024,46.19,18-07-2024,47.62,29646.6,2.1,Completed
27-06-2024,2023,GNRC,Generac Holdings Inc,34280,4.2304,Green,PowerPlay Battery Energy Storage Systems/SunGrid Solutions Inc,Neutral,Sungrid Solutions Inc,,14-06-2024,134.97,08-07-2024,142.19,8103.33,2.52,Completed
24-06-2024,2023,AMPS,Altus Power Inc,645.85,1.0016,Green,8.5 MW solar array/New Jersey,Green,,,13-06-2024,4.38,05-07-2024,4.02,644.8,0.79,Completed
20-06-2024,2023,NXT,NEXTracker Inc,22015.5,2.7018,Green,Ojjo Inc,Neutral,"NGP Energy Capital Management LLC,Ajax Strategies LLC",119,07-06-2024,55.65,01-07-2024,46.12,8148.36,3.86,Completed
12-06-2024,2023,MTDR,Matador Resources Co,1051432,143.8013,Brown,Ameredev Stateline II LLC,Neutral,"Ameredev II Parent LLC,Ameredev Intermediate II LLC",1905,31-05-2024,62.58,24-06-2024,58.47,7311.7,1.98,Completed
10-06-2024,2023,NE,Noble Corp PLC,440479.64,63.0719,Brown,Diamond Offshore Drilling Inc,Neutral,,2171.27,30-05-2024,44,20-06-2024,43.25,6983.77,1.21,Completed
03-06-2024,2023,PUMP,ProPetro Holding Corp,294004.68,309.7558,Brown,Aqua Prop LLC,Neutral,,24.88,23-05-2024,9.54,13-06-2024,8.58,949.15,-1.39,Completed
28-05-2024,2023,COP,ConocoPhillips,8221074.88,55.5361,Brown,Marathon Oil Corp,Brown,,22921.61,17-05-2024,119.03,07-06-2024,109.54,148031.21,1.88,Completed
28-05-2024,2023,ET,Energy Transfer LP,17288.65,0.3436,Green,WTG Midstream LLC,Neutral,Diamondback Energy Inc,3250,17-05-2024,15.11,07-06-2024,14.66,50320.29,0.86,Completed
22-05-2024,2023,KMI,Kinder Morgan Inc,14900000,358.3518,Brown,Oil & gas producing assets/US,Brown,,100,10-05-2024,18.41,03-06-2024,18.82,41579.25,0.93,Completed
13-05-2024,2023,OKE,ONEOK Inc,3994126.2,82.0248,Brown,Certain pipeline systems/Gulf Coast,Neutral,Easton Energy LLC,280,02-05-2024,74.46,23-05-2024,77.6,48694.15,1.44,Completed
09-05-2024,2023,KNTK,Kinetik Holdings Inc,2020748.93,906.2508,Brown,Durango Permian LLC,Neutral,Morgan Stanley Energy Partners,315,26-04-2024,37.27,20-05-2024,39.1,2229.79,1.22,Completed
30-04-2024,2023,PWR,Quanta Services Inc,988361.19,25.8187,Brown,Sherman + Reilly Inc,Neutral,Greenlee Textron Inc,,19-04-2024,243.02,10-05-2024,271.22,38280.83,1.63,Completed
29-04-2024,2023,TMHC,Taylor Morrison Home Corp,117397.11,19.9986,Brown,Pyatt Builders LLC,Neutral,,,18-04-2024,54.03,09-05-2024,59.4,5870.28,2.61,Completed
26-04-2024,2023,APO,Apollo Global Management Inc,1182,0.0187,Green,US Silica Holdings Inc,Neutral,,1850,15-04-2024,106.1,06-05-2024,109.94,63136.14,0.39,Completed
15-04-2024,2023,EQNR,Equinor ASA,11449109.44,164.1657,Brown,Non-operated natural gas assets/EQT Corp,Brown,EQT Corp,500,04-04-2024,25.79,25-04-2024,25.72,69741.16,1.69,Completed
01-04-2024,2023,AM,Antero Midstream Corp,1021615.77,160.1562,Brown,Gathering & compression assets/Summit Midstream Partners LP,Neutral,Summit Midstream Partners LP,70,21-03-2024,13.18,11-04-2024,13.21,6378.87,1.93,Completed
01-04-2024,2023,WTTR,Select Water Solutions Inc,244677.91,263.1653,Brown,Trinity Environmental Services LLC,Neutral,,,21-03-2024,9.07,11-04-2024,9.09,929.75,-0.12,Completed
22-03-2024,2023,MPLX,MPLX LP,5401376.57,141.0737,Brown,Summit Midstream Utica LLC,Neutral,Summit Midstream Partners LP,625,11-03-2024,37.5,01-04-2024,38.14,38287.63,2.93,Completed
22-03-2024,2023,REPX,Riley Exploration Permian Inc,84832.27,135.0983,Brown,Upstream oil & gas assets/Eddy County,Brown,Contango Oil & Gas Co,20.5,11-03-2024,26.22,01-04-2024,32.07,627.93,2.57,Completed
18-03-2024,2023,INVX,Innovex International Inc,8890.86,5.5717,Green,Innovex Downhole Solutions Inc,Neutral,,739.4,07-03-2024,22.49,28-03-2024,22.53,1595.72,7.29,Completed
15-03-2024,2023,UHAL,U-Haul Holding Co,51811.35,40.2128,Brown,"469 E. Spaulding Ave/Pueblo West,827 Village Circle/Pueblo",Neutral,,,04-03-2024,65.49,25-03-2024,66,1288.43,0.33,Completed
12-03-2024,2023,BLK,BlackRock Inc,6689,0.0528,Green,38 solar energy & solar plus storage projects/Excelsior Energy Capital LP,Green,Excelsior Energy Capital LP,,01-03-2024,795.83,22-03-2024,810.59,126573.1,1.2,Completed
11-03-2024,2023,EQT,EQT Corp,222984.92,10.9599,Brown,Equitrans Midstream Corp,Neutral,,12880.88,29-02-2024,36.55,21-03-2024,33.81,20345.61,1.05,Completed
11-03-2024,2023,ACA,Arcosa Inc,269401.5,66.0086,Brown,Ameron Pole Products LLC,Neutral,NOV Inc,180,29-02-2024,82.82,21-03-2024,84.96,4081.31,-0.16,Completed
05-03-2024,2023,TALO,Talos Energy Inc,646960.3,275.5391,Brown,Quarternorth Energy Holding Inc,Neutral,,,23-02-2024,12.95,15-03-2024,12.85,2347.98,-1.04,Completed
29-02-2024,2023,LUV,Southwest Airlines Co,20684739.36,1042.0434,Brown,LanzaJet Inc,Neutral,,30,16-02-2024,33.16,11-03-2024,33.19,19850.17,0.77,Completed
21-02-2024,2023,WEC,WEC Energy Group Inc,9505686.62,391.2908,Brown,Samson I solar energy center/Wisconsin,Green,,28.1,09-02-2024,73.98,04-03-2024,76.87,24293.15,0.96,Completed
12-02-2024,2023,FANG,Diamondback Energy Inc,1568750.32,34.1082,Brown,Endeavor Energy Resources LP,Neutral,,24997.05,01-02-2024,146.21,22-02-2024,169.2,45993.3,1.6,Completed
09-02-2024,2023,VTLE,Vital Energy Inc,254174.78,154.3044,Brown,2nd producing assets/Permian Basin,Neutral,"Henry Resources LLC,Moriah Henry Partners LLC,Henry Energy LP",78,29-01-2024,44.12,20-02-2024,45.69,1647.23,-6.11,Completed
09-02-2024,2023,MGEE,MGE Energy Inc,1771471.72,761.8021,Brown,723.2 mw natural gas project/Wisconsin,Brown,Alliant Energy Corp,,29-01-2024,64.21,20-02-2024,63.29,2325.37,0.78,Completed
06-02-2024,2023,DNOW,DNOW Inc,19582,18.7914,Brown,Whitco Supply LLC,Neutral,,185,26-01-2024,10.11,16-02-2024,12.14,1042.07,1.42,Completed
06-02-2024,2023,NWN,Northwest Natural Holding Co,157587.89,115.3974,Brown,Truxton Canyon Water Co Inc,Neutral,,,26-01-2024,36.4,16-02-2024,34.73,1365.61,0.86,Completed
05-02-2024,2023,AWK,American Water Works Co Inc,76351.62,3.3169,Green,Appliance Service Plan/Consumers Energy,Neutral,CMS Energy Corp,,25-01-2024,120.47,15-02-2024,121.44,23019.27,0.73,Completed
02-02-2024,2023,MGEE,MGE Energy Inc,1771471.72,775.0712,Brown,4 MW solar hybrid project west riverside energy center/Wisconsin,Green,Alliant Energy Corp,,22-01-2024,66.85,12-02-2024,64.35,2285.56,0.78,Completed
01-02-2024,2023,WFRD,Weatherford International PLC,116153,18.2864,Brown,"Probe Technology Services Inc,Impact Selector International LLC",Neutral,Turnbridge Capital LLC,,19-01-2024,94.38,12-02-2024,96.75,6351.88,2.17,Completed
31-01-2024,2023,AMPS,Altus Power Inc,645.85,0.7489,Green,84 MWs of commercial scale solar arrays/US,Green,Vitol Holding BV,118,19-01-2024,5.49,12-02-2024,6.92,862.4,0.79,Completed
30-01-2024,2023,WTTR,Select Water Solutions Inc,244677.91,318.363,Brown,"Tri-State Water Logistics LLC,Iron Mountain Energy LLC,Facilities & recycling capacity/Rockies Region",Neutral,,90,19-01-2024,6.89,09-02-2024,7.36,768.55,-0.12,Completed
30-01-2024,2023,NVAX,NOV Inc,11985.68,18.4907,Brown,Extract Production Services LLC,Neutral,"White Deer Management LLC,Riata Capital Group (Fund: RCG Equity Fund II LP)",,19-01-2024,4.05,09-02-2024,4.03,648.2,-7.08,Completed
22-01-2024,2023,SUN,Sunoco LP,129698.89,18.1464,Brown,NuStar Energy LP,Neutral,,6481.94,11-01-2024,54.96,01-02-2024,55.08,7147.35,0.72,Completed
16-01-2024,2023,TALO,Talos Energy Inc,646960.3,284.0336,Brown,QuarterNorth Energy Inc,Neutral,,1312.46,05-01-2024,13.71,26-01-2024,13.18,2277.76,-1.04,Completed
11-01-2024,2023,EXE,Expand Energy Corp,276021.48,15.3341,Brown,Southwestern Energy Co,Neutral,,11597.17,29-12-2023,74.75,22-01-2024,73.17,18000.49,-1.43,Completed
11-01-2024,2023,SUN,Sunoco LP,129698.89,17.3221,Brown,Zenith Energy Netherlands BV,Neutral,Zenith Energy Ltd,186.17,29-12-2023,55.41,22-01-2024,52.46,7487.46,0.72,Completed
04-01-2024,2023,APA,APA Corp,3720125.78,312.9091,Brown,Callon Petroleum Co,Brown,,4454.48,22-12-2023,34.4,16-01-2024,29.91,11888.84,1.83,Completed
28-12-2023,2022,NFE,New Fortress Energy Inc,679964,66.2397,Brown,1.6 GW Capacity Reserve Contract,Neutral,Ceiba Energy LLC,,15-12-2023,37.02,08-01-2024,35.8,10265.21,0.08,Completed
22-12-2023,2022,VTLE,Vital Energy Inc,386367.84,222.8484,Brown,Producing assets/Permian Basin,Neutral,"Henry Resources LLC,Moriah Henry Partners LLC,Henry Energy LP",55,11-12-2023,42.62,02-01-2024,45.21,1733.77,-6.11,Completed
20-12-2023,2022,CPK,Chesapeake Utilities Corp,215226,93.522,Brown,Propane Operating Assets/Jt Lee & Sons Inc,Neutral,JT Lee & Sons Inc,3.9,08-12-2023,97.54,02-01-2024,103.48,2301.34,1.02,Completed
14-12-2023,2022,SHEL,Shell PLC,41006166.52,219.2663,Brown,Kaikias field/US Gulf of Mexico,Neutral,Mitsui & Co Ltd,,01-12-2023,62.18,26-12-2023,62.82,187015.37,1.09,Completed
11-12-2023,2022,OXY,Occidental Petroleum Corp,17551718.18,333.0655,Brown,CrownRock LP,Neutral,"Lime Rock Partners LLC,Crownquest Operating LLC",12000,30-11-2023,58.02,21-12-2023,59.48,52697.49,-0.15,Completed
11-12-2023,2022,WCN,Waste Connections Inc,4812957,132.6675,Brown,29 facilities/Secure Energy Services Inc,Neutral,Secure Waste Infrastructure Co,791.74,30-11-2023,134.58,21-12-2023,146.31,36278.35,-0.99,Completed
07-12-2023,2022,ARRY,Array Technologies Inc,287,0.1189,Green,Litigation Solutions Inc,Neutral,,,24-11-2023,15.07,18-12-2023,18.97,2413,-9.04,Completed
04-12-2023,2022,PUMP,ProPetro Holding Corp,245111.5,261.944,Brown,PAR Five Energy Services LLC,Neutral,,25.4,22-11-2023,9.18,14-12-2023,8.59,935.74,-1.39,Completed
21-11-2023,2022,NOG,Northern Oil and Gas Inc,351378.58,99.7945,Brown,Core non operated properties/Northern Delaware,Neutral,,162.6,10-11-2023,34.39,01-12-2023,35.87,3521.02,1.28,Completed
06-11-2023,2022,VRN,Veren Inc,719333,154.5142,Brown,Hammerhead Energy Inc,Neutral,,1710.59,26-10-2023,7.6,16-11-2023,6.51,4655.45,1.25,Completed
03-11-2023,2022,ENB,Enbridge Inc,7717086.43,112.1976,Brown,7 Operating landfill gas-to-RNG facilities/Morrow Renewables,Green,Morrow Renewables LLC,1200,23-10-2023,29.97,13-11-2023,31.55,68781.19,0.27,Completed
03-11-2023,2022,FET,Forum Energy Technologies Inc,8352.06,28.835,Brown,Variperm Energy Services Inc,Neutral,,155.28,23-10-2023,22.66,13-11-2023,23.14,289.65,-1.52,Completed
02-11-2023,2022,COP,ConocoPhillips,4988534.87,33.4669,Brown,Torys LLP,Neutral,,,20-10-2023,119.11,13-11-2023,111.31,149058.88,1.88,Completed
01-11-2023,2022,BIP,Brookfield Infrastructure Partners LP,2453832.9,223.895,Brown,Portfolio of 2 Data centres/Silicon Valley,Neutral,Digital Core REIT Management Pte Ltd,160.2,20-10-2023,21.97,13-11-2023,23.97,10959.75,0,Completed
23-10-2023,2022,BIP,Brookfield Infrastructure Partners LP,2453832.9,244.2402,Brown,Data centers/Cyxtera Technologies Inc,Neutral,Cyxtera Technologies Inc,775,12-10-2023,26,02-11-2023,25.72,10046.8,0,Completed
23-10-2023,2022,ORA,Ormat Technologies Inc,208666.58,53.5125,Brown,Portfolio of 150 MW Operating Geothermal & Solar Assets/Nevada,Green,Enel SpA,271,12-10-2023,66.22,02-11-2023,63.1,3899.4,0.72,Completed
13-10-2023,2022,HLX,Helix Energy Solutions Group Inc,226639.44,139.8103,Brown,Plugging & Abandonment Business/QuarterNorth Energy LLC,Neutral,QuarterNorth Energy LLC,,02-10-2023,10.71,23-10-2023,10.13,1621.05,0.77,Completed
11-10-2023,2022,XOM,Exxon Mobil Corp,109000000,248.3716,Brown,Pioneer Natural Resources Co,Neutral,,67995.45,29-09-2023,111.67,23-10-2023,103.95,438858.51,1.68,Completed
09-10-2023,2022,VTS,Vitesse Energy Inc,43.78,0.0692,Green,Williston Basin/North Dakota,Neutral,,,28-09-2023,20.83,19-10-2023,22.54,632.59,2.2,Completed
05-10-2023,2022,XIFR,XPLR Infrastructure LP,90846.35,54.8891,Brown,South Texas Midstream LLC,Neutral,,,22-09-2023,41.15,16-10-2023,18.71,1655.09,-0.56,Completed
04-10-2023,2022,CIVI,Civitas Resources Inc,1250800,210.6025,Brown,Oil producing assets/Midland Basin,Brown,Vencer Energy LLC,2135.7,22-09-2023,69.99,16-10-2023,68,5939.15,1.01,Completed
27-09-2023,2022,CPK,Chesapeake Utilities Corp,215226,95.0443,Brown,Florida City Gas Co,Brown,NextEra Energy Inc,923,15-09-2023,108.11,09-10-2023,89.69,2264.48,1.02,Completed
26-09-2023,2022,CPK,Chesapeake Utilities Corp,215226,90.8978,Brown,Pivotal Utility Holdings Inc,Neutral,Florida Power & Light Co,923.4,15-09-2023,108.11,06-10-2023,90.88,2367.78,1.02,Completed
21-09-2023,2022,MAXN,Maxeon Solar Technologies Ltd,580,0.0284,Green,Sales channel assets & shingled solar panel ip/Solaria Corp,Green,Solaria Corp,,08-09-2023,1487,02-10-2023,1073,20436.94,-89.26,Completed
18-09-2023,2022,GPRE,Green Plains Inc,1296632.04,614.6545,Brown,Green Plains Partners LP,Neutral,,280.01,07-09-2023,32.79,28-09-2023,30.2,2109.53,-3.08,Completed
14-09-2023,2022,CVX,Chevron Corp,53000000,191.8397,Brown,ACES Delta project/Central,Neutral,,,01-09-2023,154.17,25-09-2023,158.31,276272.39,1.26,Completed
12-09-2023,2022,FTV,Fortive Corp,24419.55,0.9444,Green,Solmetric Corp,Neutral,Vivint Solar Inc,,01-09-2023,78.52,22-09-2023,73.81,25857.84,1.23,Completed
12-09-2023,2022,CVX,Chevron Corp,53000000,192.3226,Brown,Magnum Development LLC,Neutral,NGL Energy Partners LP,,01-09-2023,154.17,22-09-2023,156.03,275578.59,1.26,Completed
07-09-2023,2022,TS,Tenaris SA,590.46,0.0368,Green,Pipe processing facility/Republic Tube LLC,Neutral,Republic Tube LLC,,25-08-2023,30.83,18-09-2023,31.1,16053.49,2.12,Completed
06-09-2023,2022,ENB,Enbridge Inc,7717086.43,114.2923,Brown,Wexpro Co,Neutral,Dominion Energy Inc,4300,25-08-2023,32.1,18-09-2023,32.68,67520.62,0.27,Completed
06-09-2023,2022,ENB,Enbridge Inc,7717086.43,114.2923,Brown,Public Service Co of North Carolina Inc,Neutral,Dominion Energy Inc,3200,25-08-2023,32.1,18-09-2023,32.68,67520.62,0.27,Completed
06-09-2023,2022,ENB,Enbridge Inc,7717086.43,114.2923,Brown,Questar Gas Co,Brown,Dominion Energy Inc,,25-08-2023,32.1,18-09-2023,32.68,67520.62,0.27,Completed
05-09-2023,2022,ENB,Enbridge Inc,7717086.43,107.5559,Brown,East Ohio Gas Co/The,Brown,Dominion Energy Inc,6600,25-08-2023,32.1,15-09-2023,32.74,71749.57,0.27,Completed
05-09-2023,2022,WES,Western Midstream Partners LP,536383.08,59.7793,Brown,Meritage Midstream Services II LLC,Neutral,Riverstone Holdings LLC,885,25-08-2023,23.47,15-09-2023,22.78,8972.73,2.54,Completed
23-08-2023,2022,FSV,FirstService Corp,42324.02,6.4017,Green,Case Restoration Inc,Neutral,,,11-08-2023,153.62,05-09-2023,149.78,6611.38,0.77,Completed
22-08-2023,2022,EQT,EQT Corp,227981.25,9.0106,Green,"THQ Appalachia I LLC,THQ-XcL Holdings I Midco LLC",Neutral,Quantum Energy Partners LLC,4498.28,11-08-2023,42.01,01-09-2023,43.15,25301.57,1.05,Completed
21-08-2023,2022,PR,Permian Resources Corp,785931.98,89.5236,Brown,Earthstone Energy Inc,Neutral,,2809.78,10-08-2023,11.41,31-08-2023,13.42,8779.05,1.28,Completed
21-08-2023,2022,SPRU,Spruce Power Holding Corp,108.62,0.9731,Green,Portfolio of 2400 residential solar systems/California,Green,,,10-08-2023,7.6,31-08-2023,6.33,111.62,-6.63,Completed
16-08-2023,2022,ET,Energy Transfer LP,16765.4,0.4314,Green,Crestwood Equity Partners LP,Neutral,,6127.67,04-08-2023,11.04,28-08-2023,11.89,38858.65,0.86,Completed
